item_id,language_pair,task_family,transition,rtt_transition,content_ftga,contract_ftga,content_rtt,contract_rtt,content_token_tax,contract_token_tax,content_first_failure_types,contract_first_failure_types,content_first_response_excerpt,contract_first_response_excerpt
ar_en_SC_005,ar-en,quote_preservation,both_fail,same_rtt,0,0,1,1,2.211,2.138,preservation_failure;task_noncompletion,preservation_failure;task_noncompletion,"يقدم المستند قائمة بـ""متطلبات الدورة"" قبل ""الامتحان النهائي"".",الوثيقة تتضمن متطلبات الدورة قبل الامتحان النهائي.
ar_en_SC_006,ar-en,quote_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"الوثيقة تتضمن قسم ""Office Hours"" قبل قسم ""Makeup Exam"".","الوثيقة تتضمن قسم ""Office Hours"" قبل قسم ""Makeup Exam""."
ar_en_SC_007,ar-en,quote_preservation,contract_only_pass,contract_lower_rtt,0,1,1,0,2.217,1.0,preservation_failure;task_noncompletion,,"الوثيقة تتضمن قائمة بـ""موعد الدفع"" قبل ""رسوم التأخير"".","الوثيقة تذكر أولاً ""Payment Deadline"" ثم ""Late Fee""."
ar_en_SC_008,ar-en,quote_preservation,content_only_pass,content_lower_rtt,1,0,0,1,1.0,2.142,,preservation_failure;task_noncompletion,"الوثيقة تتضمن إرشادات للزوار تحت عنوان ""Visitor Guidelines"" قبل قسم ""Check-In Desk"".","الوثيقة تتضمن ""إرشادات الزائرين"" قبل قسم ""مكتب التسجيل""."
ar_en_SC_009,ar-en,quote_preservation,both_fail,same_rtt,0,0,1,1,2.215,2.145,preservation_failure;task_noncompletion,preservation_failure;task_noncompletion,الوثيقة تتضمن إعدادات الحساب قبل خيار إعادة تعيين كلمة المرور.,"يحتوي المستند على قسم ""إعدادات الحساب"" قبل قسم ""إعادة تعيين كلمة المرور""."
ar_en_SC_010,ar-en,quote_preservation,both_fail,same_rtt,0,0,1,1,2.217,2.143,preservation_failure;task_noncompletion,preservation_failure;task_noncompletion,"الوثيقة تتضمن قسم ""الفوائد الصحية"" قبل قسم ""نموذج التسجيل"".","الوثيقة تتضمن قسم ""الفوائد الصحية"" قبل قسم ""نموذج التسجيل""."
ar_en_SD_001,ar-en,script_register_locale,content_only_pass,content_lower_rtt,1,0,0,1,1.0,2.144,,preservation_failure;task_noncompletion,دفعت ₹500 وببعتلك الإيصال بكرة.,دفعت ٥٠٠ روبية، أرسل لك الإيصال بكرة إن شاء الله.
ar_en_SD_002,ar-en,script_register_locale,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,مرحباً، تأكد أن الاجتماع سيكون في 05/07/2026، الرجاء عدم تغيير تنسيق التاريخ.,تأكيد أن الاجتماع سيكون في 05/07/2026، يرجى عدم تغيير تنسيق التاريخ.
ar_en_SD_003,ar-en,script_register_locale,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,شكراً، رمز الحجز ABC-17 صحيح، وسأصل بعد الغداء.,شكراً، رمز الحجز ABC-17 صحيح وسأصل بعد الغداء.
ar_en_SD_004,ar-en,script_register_locale,both_fail,same_rtt,0,0,1,1,2.234,2.14,preservation_failure;task_noncompletion,preservation_failure;task_noncompletion,هل يمكن أن يحتفظ المتجر بالطلب باسم ميرا راو تماماً؟,هل يمكنكم حفظ الطلب باسم ميرا راو تماماً؟
ar_en_SD_005,ar-en,script_register_locale,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,مرحبًا، يرجى عدم تغيير اسم الملف draft_v2.pdf. شكراً لك!,"بالطبع، إليك رد الواتساب القصير: ""حافظ على اسم الملف draft_v2.pdf كما هو بدون تغيير."""
ar_en_SD_006,ar-en,script_register_locale,both_fail,same_rtt,0,0,3,3,3.753,3.516,preservation_failure,preservation_failure,هل يمكن نقل موعدي إلى الساعة 10:30 صباحًا بدون تغيير رقم الحجز INV-2048؟,هل يمكن نقل موعدي إلى الساعة 10:30 صباحًا بدون تغيير رقم الحجز INV-2048؟
ar_en_SD_007,ar-en,script_register_locale,both_fail,same_rtt,0,0,1,1,2.255,2.151,preservation_failure;task_noncompletion,preservation_failure;task_noncompletion,حاضر، سأخبر السائق أن يترك الطرد في الشقة 5B ويتصل عند الوصول.,"تفضل، هذا رد واتساب قصير بالعربية: ""رجاءً، اترك الصندوق في الشقة 5B واتصل عندما تصل."""
ar_en_SD_008,ar-en,script_register_locale,both_fail,same_rtt,0,0,3,3,3.927,3.627,preservation_failure,preservation_failure,مرحباً، أبلغ HR أنني أستطيع البدء في 12 يونيو، ويجب أن يبقى رقم الموظف QR-77 كما هو.,مرحباً، يمكنني البدء في 12 يونيو، ورقم الموظف QR-77 يجب أن يبقى كما هو. شكراً.
ar_en_SD_009,ar-en,script_register_locale,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"مرحبًا، يرجى الحفاظ على تسمية الحساب ""Travel_Fund"" تمامًا كما هو مكتوب. شكراً لك!","رجاءً، يرجى الحفاظ على تسمية الحساب ""Travel_Fund"" كما هي مكتوبة تمامًا."
ar_en_SD_010,ar-en,script_register_locale,both_fail,same_rtt,0,0,1,1,2.248,2.168,preservation_failure,preservation_failure,شكراً للتأكيد، موعد الاستلام من 2 إلى 4 مساءً ورمز الطلب BK-903.,شكرًا للتأكيد، موعد الاستلام من 2 إلى 4 مساءً ورمز الطلب BK-903.
es_en_SA_001,es-en,editing_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"Sure! Here's a more natural version of your message: ""Hi team, I’ve finished the notes, but I’m not sure if the conclusion comes across clearly.""","Sure! Here's a more natural-sounding version: ""Hi team, I’ve finished the notes, but I’m not sure if the conclusion is clear."""
es_en_SA_002,es-en,editing_preservation,content_only_pass,content_lower_rtt,1,0,0,1,1.0,2.189,,wrong_output_language;task_noncompletion,"Sure! Here's a more natural version: ""Hi, I need to reschedule my appointment because my train was delayed.""","Claro, aquí tienes una versión más natural: ""Hi, I need to reschedule my appointment because my train was delayed."""
es_en_SA_003,es-en,editing_preservation,content_only_pass,content_lower_rtt,1,0,0,1,1.0,2.193,,wrong_output_language;task_noncompletion,"Sure! Here's a more natural-sounding version: ""Thanks for your help. I'll review the invoice and send the missing details tonight.""","Claro, aquí tienes una versión más natural del texto: ""Thanks for your help. I'll review the invoice and send the missing details tonight."""
es_en_SA_004,es-en,editing_preservation,both_fail,same_rtt,0,0,1,1,2.281,2.199,wrong_output_language;task_noncompletion,wrong_output_language;task_noncompletion,"Claro, aquí tienes una versión más natural: ""No puedo unirme a la llamada hoy, pero puedo compartir mi actualización por correo.""","Claro, aquí tienes una versión más natural: ""No puedo unirme a la llamada hoy, pero puedo compartir mi actualización por correo."""
es_en_SA_005,es-en,editing_preservation,both_fail,same_rtt,0,0,1,1,2.272,2.186,wrong_output_language;task_noncompletion,wrong_output_language;task_noncompletion,"Claro, aquí tienes una versión más natural y suave del texto: ""The first paragraph is a bit too long, and the last sentence comes across as a little harsh.""","Claro, aquí tienes una versión más natural y suave del texto: ""The first paragraph is a bit too long, and the last sentence comes across as a little harsh."""
es_en_SA_006,es-en,editing_preservation,both_fail,same_rtt,0,0,1,1,2.291,2.183,wrong_output_language;task_noncompletion,wrong_output_language;task_noncompletion,"Claro, aquí tienes una versión más natural: ""I reviewed the report, and the second chart might be confusing for new readers.""","Claro, aquí tienes una versión más natural y fluida: ""Revisé el informe, y el segundo gráfico parece un poco confuso para quienes lo leen por primera vez."""
es_en_SA_007,es-en,editing_preservation,both_fail,contract_lower_rtt,0,0,3,1,1.0,2.181,wrong_output_language,wrong_output_language;task_noncompletion,¿Podrías decirle al cliente que el pago llegará la próxima semana?,"Claro, aquí tienes una versión más natural: ""Could you let the client know that the payment will arrive next week?"""
es_en_SA_008,es-en,editing_preservation,both_fail,same_rtt,0,0,1,1,2.282,2.189,wrong_output_language;task_noncompletion,wrong_output_language;task_noncompletion,"Claro, aquí tienes una versión más natural: ""La pregunta de la encuesta suena demasiado directa y podría incomodar a las personas.""","Claro, aquí tienes una versión más natural y suave del texto: ""The survey question feels a bit too direct and might make people uncomfortable."""
es_en_SA_009,es-en,editing_preservation,content_only_pass,content_lower_rtt,1,0,0,1,1.0,2.197,,wrong_output_language;task_noncompletion,"Sure! Here's a more natural-sounding version: ""I need to ask my manager for an extra day to finish the slide deck.""","Claro, aquí tienes una versión más natural: **""I need to ask my manager for an extra day to finish the slide deck.""**"
es_en_SA_010,es-en,editing_preservation,both_fail,same_rtt,0,0,1,1,2.279,2.184,wrong_output_language;task_noncompletion,wrong_output_language;task_noncompletion,"Claro, aquí tienes una versión más natural: ""Por favor, avísale al inquilino que ya solucionamos el problema de la calefacción y que volveremos a revisarlo mañana.""","Claro, aquí tienes una versión más natural en español: ""Por favor, avísale al inquilino que ya solucionamos el problema de la calefacción y que volveremos a revisarlo mañana."""
es_en_SB_001,es-en,output_language_inference,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,The data is not enough to support this claim.,The data is not enough to support this claim.
es_en_SB_002,es-en,output_language_inference,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,Each of the students has submitted their form.,Each of the students has submitted their form.
es_en_SB_003,es-en,output_language_inference,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,I would appreciate it if you could reply today.,I would appreciate it if you could reply today.
es_en_SB_004,es-en,output_language_inference,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,This feedback is clearer than the last version.,This feedback is clearer than the last version.
es_en_SB_005,es-en,output_language_inference,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,Please let me know if there is any information missing.,Please let me know if there is any information missing.
es_en_SB_006,es-en,output_language_inference,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,Neither of the answers is correct.,Neither of the answers is correct.
es_en_SB_007,es-en,output_language_inference,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,The team has finished its review.,The team has finished its review.
es_en_SB_008,es-en,output_language_inference,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,Please discuss the schedule before Monday.,Please discuss the schedule before Monday.
es_en_SB_009,es-en,output_language_inference,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,I am used to working late on Fridays.,I am used to working late on Fridays.
es_en_SB_010,es-en,output_language_inference,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,This option is better for small teams.,This option is better for small teams.
es_en_SC_001,es-en,quote_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"El documento presenta la sección ""Return Policy"" antes de ""Refund Request"".","El documento presenta la ""Return Policy"" antes de la ""Refund Request""."
es_en_SC_002,es-en,quote_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"El documento incluye primero ""Budget Review"" y luego ""Community Questions"".","El documento incluye una sección titulada ""Budget Review"" antes de ""Community Questions""."
es_en_SC_003,es-en,quote_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"El documento presenta las ""Safety Guidelines"" antes de ""Emergency Contact"".","El documento presenta las ""Safety Guidelines"" antes de ""Emergency Contact""."
es_en_SC_004,es-en,quote_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"El documento presenta primero ""Privacy Notice"" y luego ""Data Export"".","El documento incluye primero ""Privacy Notice"" y luego ""Data Export""."
es_en_SC_005,es-en,quote_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"El documento enumera ""Course Requirements"" antes de ""Final Exam"".","El documento enumera los ""Course Requirements"" antes del ""Final Exam""."
es_en_SC_006,es-en,quote_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"El documento enumera ""Office Hours"" antes de ""Makeup Exam"".","El documento enumera ""Office Hours"" antes de ""Makeup Exam""."
es_en_SC_007,es-en,quote_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"El documento enumera ""Payment Deadline"" antes de ""Late Fee"".","El documento menciona primero ""Payment Deadline"" y luego ""Late Fee""."
es_en_SC_008,es-en,quote_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"El documento presenta las ""Visitor Guidelines"" antes de la sección ""Check-In Desk"".","El documento presenta las ""Visitor Guidelines"" antes de la sección de ""Check-In Desk""."
es_en_SC_009,es-en,quote_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"El documento enumera ""Account Settings"" antes de ""Password Reset"".","El documento enumera ""Account Settings"" antes de ""Password Reset""."
es_en_SC_010,es-en,quote_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"El documento presenta primero ""Health Benefits"" y luego ""Enrollment Form"".","El documento presenta los ""Health Benefits"" antes del ""Enrollment Form""."
es_en_SD_001,es-en,script_register_locale,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,Le pagué ₹500 y mañana te envío el recibo.,Le pagué ₹500 y enviaré el recibo mañana.
es_en_SD_002,es-en,script_register_locale,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"La reunión está confirmada para el 05/07/2026. Por favor, no cambien el formato de la fecha.","La reunión está confirmada para el 05/07/2026. Por favor, no cambien el formato de la fecha."
es_en_SD_003,es-en,script_register_locale,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,El código de reserva ABC-17 es correcto y llegaré después del almuerzo.,El código de reserva ABC-17 es correcto. Llegaré después del almuerzo.
es_en_SD_004,es-en,script_register_locale,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,¿La tienda puede mantener el pedido a nombre de Mira Rao exactamente?,¿La tienda puede mantener el pedido a nombre de Mira Rao exactamente?
es_en_SD_005,es-en,script_register_locale,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,El nombre del archivo draft_v2.pdf debe mantenerse sin cambios.,El nombre del archivo draft_v2.pdf debe mantenerse sin cambios.
es_en_SD_006,es-en,script_register_locale,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,¿Podrían mover mi visita a las 10:30 AM sin cambiar el número de cita INV-2048?,¿Podrían mover mi cita a las 10:30 AM sin cambiar el número de cita INV-2048?
es_en_SD_007,es-en,script_register_locale,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"Por favor, deje la caja en el Apt 5B y llame cuando llegue.","Por favor, deje la caja en el Apt 5B y llame cuando llegue."
es_en_SD_008,es-en,script_register_locale,both_fail,same_rtt,0,0,3,3,3.744,3.5,preservation_failure,preservation_failure,"Hola, puedo comenzar el 12 de junio y el ID de empleado QR-77 debe mantenerse igual.","Hola, puedo comenzar el 12 de junio y el ID de empleado QR-77 debe mantenerse igual."
es_en_SD_009,es-en,script_register_locale,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"Por favor, mantengan la etiqueta de la cuenta como ""Travel_Fund"" exactamente como está escrita.","Por favor, mantengan la etiqueta de la cuenta como ""Travel_Fund"" exactamente como está escrita."
es_en_SD_010,es-en,script_register_locale,both_fail,same_rtt,0,0,1,1,2.256,2.172,preservation_failure,preservation_failure,La ventana de recogida es de 2 a 4 PM y el código de pedido es BK-903.,La ventana de recogida es de 2 a 4 PM y el código de pedido es BK-903.
hi_en_SA_001,hi-en,editing_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"Hi team, I've finished the notes, but I'm not sure if the conclusion is clear.","Hi team, I've completed the notes, but I'm unsure if the conclusion is clear."
hi_en_SA_002,hi-en,editing_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"Hello, I need to reschedule my appointment because my train was delayed.","Hello, I need to reschedule my appointment because my train was delayed."
hi_en_SA_003,hi-en,editing_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,Thank you for your help. I’ll review the invoice and send the missing details tonight.,Thank you for your help. I'll review the invoice and send the missing details tonight.
hi_en_SA_004,hi-en,editing_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"I won’t be able to join the call today, but I’ll send my update via email.","Sure! Here's a more natural and polished version: ""I won't be able to join the call today, but I'll send my update via email."""
hi_en_SA_005,hi-en,editing_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"The first paragraph is a bit lengthy, and the last sentence comes across as somewhat rude.","The first paragraph is a bit lengthy, and the last sentence comes across as somewhat abrupt."
hi_en_SA_006,hi-en,editing_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"I reviewed the report, and the second chart might be confusing for new readers.","I reviewed the report, and the second chart might be a bit confusing for newcomers."
hi_en_SA_007,hi-en,editing_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,Could you please inform the client that the payment will be received next week?,"Sure! Here's a more natural and polished version: ""Could you please inform the client that the payment will be received next week?"""
hi_en_SA_008,hi-en,editing_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,The survey question feels a bit too direct and could potentially make people uncomfortable.,The survey question feels a bit too direct and could potentially make respondents uncomfortable.
hi_en_SA_009,hi-en,editing_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,I need to ask my manager for an extra day to complete the slide deck.,"Sure! Here's a more natural and polished version: ""I need to request an extra day from my manager to complete the slide deck."""
hi_en_SA_010,hi-en,editing_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"Please inform the tenant that the heating issue has been resolved, and we will check it again tomorrow.","Please inform the tenant that the heating issue has been resolved, and we will check it again tomorrow."
hi_en_SB_001,hi-en,output_language_inference,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,The data are not enough to support this claim.,The data are not enough to support this claim.
hi_en_SB_002,hi-en,output_language_inference,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,Each of the students has submitted their form.,Each of the students has submitted their form.
hi_en_SB_003,hi-en,output_language_inference,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,I would appreciate it if you could reply today.,I would appreciate it if you could reply today.
hi_en_SB_004,hi-en,output_language_inference,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,This feedback is clearer than the last version.,This feedback is clearer than the last version.
hi_en_SB_005,hi-en,output_language_inference,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,Please let me know if any information is missing.,Please let me know if there is any information missing.
hi_en_SB_006,hi-en,output_language_inference,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,Neither of the answers is correct.,Neither of the answers is correct.
hi_en_SB_007,hi-en,output_language_inference,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,The team has finished its review.,The team has finished its review.
hi_en_SB_008,hi-en,output_language_inference,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,Please discuss the schedule before Monday.,Please discuss the schedule before Monday.
hi_en_SB_009,hi-en,output_language_inference,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,I am used to working late on Fridays.,I am used to working late on Fridays.
hi_en_SB_010,hi-en,output_language_inference,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,This option is better for small teams.,This option is better for small teams.
hi_en_SC_001,hi-en,quote_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"Yeh document ""Return Policy"" ke saath shuru hota hai, jisme return ki shartein aur prakriya di gayi hain. Iske baad ""Refund Request"" ka zikr hota hai, jisme refund ke liye aaved...","""Return Policy"" pehle listed hai, uske baad ""Refund Request"" aata hai."
hi_en_SC_002,hi-en,quote_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"Yeh document ""Budget Review"" ke saath shuru hota hai, jisme budget ki jaankari di gayi hai. Iske baad ""Community Questions"" ke section mein samudaay ke prashn aur unke uttar diy...","""Budget Review"" ke baad ""Community Questions"" ki list di gayi hai."
hi_en_SC_003,hi-en,quote_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"Yeh document ""Safety Guidelines"" ke saath shuru hota hai, jisme suraksha ke niyam diye gaye hain. Iske baad ""Emergency Contact"" ki jankari di gayi hai, jo emergency ke samay mad...","""Safety Guidelines"" ke antargat suraksha ke niyam diye gaye hain, jaise ki sahi tarike se upkaran ka upyog karna, suraksha ke liye protective gear pehna, aur aag lagne par kya k..."
hi_en_SC_004,hi-en,quote_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"Yeh document pehle ""Privacy Notice"" aur phir ""Data Export"" ko list karta hai. Privacy Notice mein user ki personal information ke suraksha ke baare mein jaankari di gayi hai, ja...","""Privacy Notice"" ke baad ""Data Export"" ki list di gayi hai. Yeh document user ki privacy aur data export ke baare mein jankari deta hai."
hi_en_SC_005,hi-en,quote_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"Yeh document ""Course Requirements"" ke baare mein hai jo ""Final Exam"" se pehle aata hai. Ismein course ke zaroori shartein aur requirements di gayi hain, jo students ko complete...","Is document mein ""Course Requirements"" ki list di gayi hai, jo ""Final Exam"" se pehle aati hai."
hi_en_SC_006,hi-en,quote_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"Is document mein pehle ""Office Hours"" ka zikr hai, uske baad ""Makeup Exam"" ka mention hai.","Is document mein ""Office Hours"" ko ""Makeup Exam"" se pehle list kiya gaya hai."
hi_en_SC_007,hi-en,quote_preservation,both_pass,same_rtt,1,1,0,0,1.0,1.0,,,"Yeh document ""Payment Deadline"" ko pehle list karta hai, uske baad ""Late Fee"" ka zikr hai.","Yeh document ""Payment Deadline"" ko ""Late Fee"" se pehle list karta hai."
