audit_id,language_pair,task_family,user_prompt,assistant_response,expected_response_language,expected_script,must_preserve_spans,register_requirement,locale_requirement,known_bad_outputs,notes_for_annotators,human_pass,human_language_pass,human_script_pass,human_preservation_pass,human_task_pass,human_register_locale_pass,human_failure_types,human_notes
rpt_audit_035,es-en,output_language_inference,"Corrige solo la frase en inglés. No expliques nada: ""Please let me know if there is any informations missing.""",Please let me know if there is any information missing.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,
rpt_audit_036,es-en,output_language_inference,"Corrige solo la frase en inglés. No expliques nada: ""Please let me know if there is any informations missing.""",Please let me know if there is any information missing.,English,Latin,[],corrected sentence only,,"[""translation"", ""explanation without corrected English sentence""]",Equivalent grammatical corrections are acceptable.,,,,,,,,
rpt_audit_037,es-en,quote_preservation,"Resume esto en español, pero deja los títulos entre comillas exactamente en inglés: The document lists ""Course Requirements"" before ""Final Exam"".","El documento enumera ""Course Requirements"" antes de ""Final Exam"".",Spanish,Latin,"[""Course Requirements"", ""Final Exam""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,
rpt_audit_038,es-en,quote_preservation,"Resume esto en español, pero deja los títulos entre comillas exactamente en inglés: The document lists ""Return Policy"" before ""Refund Request"".","El documento menciona ""Return Policy"" antes de ""Refund Request"".",Spanish,Latin,"[""Return Policy"", ""Refund Request""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,
rpt_audit_039,es-en,quote_preservation,"Resume esto en español, pero deja los títulos entre comillas exactamente en inglés: The document lists ""Budget Review"" before ""Community Questions"".","El documento enumera ""Budget Review"" antes de ""Community Questions"".",Spanish,Latin,"[""Budget Review"", ""Community Questions""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,
rpt_audit_040,es-en,quote_preservation,"Resume esto en español, pero deja los títulos entre comillas exactamente en inglés: The document lists ""Budget Review"" before ""Community Questions"".","El documento enumera ""Budget Review"" antes de ""Community Questions"".",Spanish,Latin,"[""Budget Review"", ""Community Questions""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,
rpt_audit_041,es-en,quote_preservation,"Resume esto en español, pero deja los títulos entre comillas exactamente en inglés: The document lists ""Return Policy"" before ""Refund Request"".","El documento presenta primero la sección ""Return Policy"" y luego la sección ""Refund Request"".",Spanish,Latin,"[""Return Policy"", ""Refund Request""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,
rpt_audit_042,es-en,quote_preservation,"Resume esto en español, pero deja los títulos entre comillas exactamente en inglés: The document lists ""Safety Guidelines"" before ""Emergency Contact"".","El documento presenta las ""Safety Guidelines"" antes de ""Emergency Contact"".",Spanish,Latin,"[""Safety Guidelines"", ""Emergency Contact""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,
rpt_audit_043,es-en,script_register_locale,Escribe una respuesta breve en español. Conserva exactamente estos datos si aparecen en el contexto. Context: Confirm the meeting is on 05/07/2026 and ask them not to change the date format.,"La reunión está confirmada para el 05/07/2026. Por favor, no cambie el formato de la fecha.",Spanish,Latin,"[""05/07/2026""]",short polite casual message,"preserve literal dates, codes, names, filenames, and amounts exactly","[""wrong script"", ""changes literal data"", ""English-only response""]",Literal data must be unchanged even if the surrounding language changes.,,,,,,,,
rpt_audit_044,es-en,script_register_locale,Escribe una respuesta breve en español. Conserva exactamente estos datos si aparecen en el contexto. Context: Tell a friend I paid ₹500 and will send the receipt tomorrow.,"Hola, ya pagué ₹500 y mañana te envío el recibo.",Spanish,Latin,"[""₹500""]",short polite casual message,"preserve literal dates, codes, names, filenames, and amounts exactly","[""wrong script"", ""changes literal data"", ""English-only response""]",Literal data must be unchanged even if the surrounding language changes.,,,,,,,,
rpt_audit_045,es-en,script_register_locale,Escribe una respuesta breve en español. Conserva exactamente estos datos si aparecen en el contexto. Context: Say the booking code ABC-17 is correct and I will arrive after lunch.,El código de reserva ABC-17 es correcto y llegaré después del almuerzo.,Spanish,Latin,"[""ABC-17""]",short polite casual message,"preserve literal dates, codes, names, filenames, and amounts exactly","[""wrong script"", ""changes literal data"", ""English-only response""]",Literal data must be unchanged even if the surrounding language changes.,,,,,,,,
rpt_audit_046,es-en,script_register_locale,Escribe una respuesta breve en español. Conserva exactamente estos datos si aparecen en el contexto. Context: Ask if the shop can keep the order under the name Mira Rao exactly.,¿Podrían guardar el pedido exactamente a nombre de Mira Rao?,Spanish,Latin,"[""Mira Rao""]",short polite casual message,"preserve literal dates, codes, names, filenames, and amounts exactly","[""wrong script"", ""changes literal data"", ""English-only response""]",Literal data must be unchanged even if the surrounding language changes.,,,,,,,,
rpt_audit_047,es-en,script_register_locale,Escribe una respuesta breve en español. Conserva exactamente estos datos si aparecen en el contexto. Context: Ask if the shop can keep the order under the name Mira Rao exactly.,¿Podrían mantener el pedido a nombre de Mira Rao exactamente?,Spanish,Latin,"[""Mira Rao""]",short polite casual message,"preserve literal dates, codes, names, filenames, and amounts exactly","[""wrong script"", ""changes literal data"", ""English-only response""]",Literal data must be unchanged even if the surrounding language changes.,,,,,,,,
rpt_audit_048,es-en,script_register_locale,Escribe una respuesta breve en español. Conserva exactamente estos datos si aparecen en el contexto. Context: Say the booking code ABC-17 is correct and I will arrive after lunch.,El código de reserva ABC-17 es correcto. Llegaré después del almuerzo.,Spanish,Latin,"[""ABC-17""]",short polite casual message,"preserve literal dates, codes, names, filenames, and amounts exactly","[""wrong script"", ""changes literal data"", ""English-only response""]",Literal data must be unchanged even if the surrounding language changes.,,,,,,,,
