audit_id,language_pair,task_family,user_prompt,assistant_response,expected_response_language,expected_script,must_preserve_spans,register_requirement,locale_requirement,known_bad_outputs,notes_for_annotators,annotator_id,human_pass,human_language_pass,human_script_pass,human_preservation_pass,human_task_pass,human_register_locale_pass,human_failure_types,human_notes
rpt_audit_038,es-en,quote_preservation,"Resume esto en español, pero deja los títulos entre comillas exactamente en inglés: The document lists ""Budget Review"" before ""Community Questions"".","El documento menciona ""Budget Review"" antes de ""Community Questions"".",Spanish,Latin,"[""Budget Review"", ""Community Questions""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,,
rpt_audit_039,es-en,quote_preservation,"Resume esto en español, pero deja los títulos entre comillas exactamente en inglés: The document lists ""Safety Guidelines"" before ""Emergency Contact"".","El documento enumera las ""Safety Guidelines"" antes de ""Emergency Contact"".",Spanish,Latin,"[""Safety Guidelines"", ""Emergency Contact""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,,
rpt_audit_040,es-en,quote_preservation,"Resume esto en español, pero deja los títulos entre comillas exactamente en inglés: The document lists ""Safety Guidelines"" before ""Emergency Contact"".","El documento enumera las ""Safety Guidelines"" antes de los ""Emergency Contact"".",Spanish,Latin,"[""Safety Guidelines"", ""Emergency Contact""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,,
rpt_audit_041,es-en,quote_preservation,"Resume esto en español, pero deja los títulos entre comillas exactamente en inglés: The document lists ""Budget Review"" before ""Community Questions"".","El documento presenta primero la sección de ""Budget Review"" y luego la de ""Community Questions"".",Spanish,Latin,"[""Budget Review"", ""Community Questions""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,,
rpt_audit_042,es-en,quote_preservation,"Resume esto en español, pero deja los títulos entre comillas exactamente en inglés: The document lists ""Office Hours"" before ""Makeup Exam"".","El documento enumera ""Office Hours"" antes de ""Makeup Exam"".",Spanish,Latin,"[""Office Hours"", ""Makeup Exam""]",neutral concise summary,,"[""translated quoted heading"", ""dropped quoted heading""]",The quoted headings are semantically translatable but must remain exact.,,,,,,,,,
rpt_audit_043,es-en,script_register_locale,Escribe una respuesta breve en español. Conserva exactamente estos datos si aparecen en el contexto. Context: Ask if the shop can keep the order under the name Mira Rao exactly.,¿Pueden guardar el pedido a nombre de Mira Rao exactamente?,Spanish,Latin,"[""Mira Rao""]",short polite casual message,"preserve literal dates, codes, names, filenames, and amounts exactly","[""wrong script"", ""changes literal data"", ""English-only response""]",Literal data must be unchanged even if the surrounding language changes.,,,,,,,,,
rpt_audit_044,es-en,script_register_locale,Escribe una respuesta breve en español. Conserva exactamente estos datos si aparecen en el contexto. Context: Tell a friend I paid ₹500 and will send the receipt tomorrow.,"Hola, ya pagué ₹500 y mañana te envío el recibo.",Spanish,Latin,"[""₹500""]",short polite casual message,"preserve literal dates, codes, names, filenames, and amounts exactly","[""wrong script"", ""changes literal data"", ""English-only response""]",Literal data must be unchanged even if the surrounding language changes.,,,,,,,,,
rpt_audit_045,es-en,script_register_locale,Escribe una respuesta breve en español. Conserva exactamente estos datos si aparecen en el contexto. Context: Ask if the clinic can move my visit to 10:30 AM without changing the appointment number INV-2048.,¿Podrían cambiar mi cita al 10:30 AM sin modificar el número de cita INV-2048? Gracias.,Spanish,Latin,"[""10:30 AM"", ""INV-2048""]",short polite casual message,"preserve literal dates, codes, names, filenames, and amounts exactly","[""wrong script"", ""changes literal data"", ""English-only response""]",Literal data must be unchanged even if the surrounding language changes.,,,,,,,,,
rpt_audit_046,es-en,script_register_locale,Escribe una respuesta breve en español. Conserva exactamente estos datos si aparecen en el contexto. Context: Tell HR I can start on June 12 and the employee ID QR-77 should stay the same.,Pueden informar a Recursos Humanos que puedo comenzar el 12 de junio y que el ID de empleado QR-77 debe mantenerse igual.,Spanish,Latin,"[""June 12"", ""QR-77""]",short polite casual message,"preserve literal dates, codes, names, filenames, and amounts exactly","[""wrong script"", ""changes literal data"", ""English-only response""]",Literal data must be unchanged even if the surrounding language changes.,,,,,,,,,
rpt_audit_047,es-en,script_register_locale,Escribe una respuesta breve en español. Conserva exactamente estos datos si aparecen en el contexto. Context: Tell the delivery driver to leave the box at Apt 5B and call when they arrive.,"Por favor, deje la caja en el Apt 5B y llame cuando llegue.",Spanish,Latin,"[""Apt 5B""]",short polite casual message,"preserve literal dates, codes, names, filenames, and amounts exactly","[""wrong script"", ""changes literal data"", ""English-only response""]",Literal data must be unchanged even if the surrounding language changes.,,,,,,,,,
rpt_audit_048,es-en,script_register_locale,Escribe una respuesta breve en español. Conserva exactamente estos datos si aparecen en el contexto. Context: Tell my classmate that the file name draft_v2.pdf should stay unchanged.,El nombre del archivo draft_v2.pdf debe mantenerse sin cambios.,Spanish,Latin,"[""draft_v2.pdf""]",short polite casual message,"preserve literal dates, codes, names, filenames, and amounts exactly","[""wrong script"", ""changes literal data"", ""English-only response""]",Literal data must be unchanged even if the surrounding language changes.,,,,,,,,,
