audit_id,item_id,model,condition,turn,language_pair,task_family,auto_pass,auto_language_pass,auto_script_pass,auto_preservation_pass,auto_task_pass,auto_register_locale_pass,auto_failure_types
rpt_audit_037,es_en_SC_005,gpt-4.1,baseline,0,es-en,quote_preservation,True,True,True,True,True,True,[]
rpt_audit_038,es_en_SC_001,gpt-4.1,contract,0,es-en,quote_preservation,True,True,True,True,True,True,[]
rpt_audit_039,es_en_SC_002,gpt-4.1-mini,baseline,0,es-en,quote_preservation,True,True,True,True,True,True,[]
rpt_audit_040,es_en_SC_002,gpt-4.1-mini,contract,0,es-en,quote_preservation,True,True,True,True,True,True,[]
rpt_audit_041,es_en_SC_001,gpt-4.1-nano,baseline,0,es-en,quote_preservation,True,True,True,True,True,True,[]
rpt_audit_042,es_en_SC_003,gpt-4.1-nano,contract,0,es-en,quote_preservation,True,True,True,True,True,True,[]
rpt_audit_043,es_en_SD_002,gpt-4.1,baseline,0,es-en,script_register_locale,True,True,True,True,True,True,[]
rpt_audit_044,es_en_SD_001,gpt-4.1,contract,0,es-en,script_register_locale,True,True,True,True,True,True,[]
rpt_audit_045,es_en_SD_003,gpt-4.1-mini,baseline,0,es-en,script_register_locale,True,True,True,True,True,True,[]
rpt_audit_046,es_en_SD_004,gpt-4.1-mini,contract,0,es-en,script_register_locale,True,True,True,True,True,True,[]
rpt_audit_047,es_en_SD_004,gpt-4.1-nano,baseline,0,es-en,script_register_locale,True,True,True,True,True,True,[]
rpt_audit_048,es_en_SD_003,gpt-4.1-nano,contract,0,es-en,script_register_locale,True,True,True,True,True,True,[]
rpt_audit_049,hi_en_SA_001,gpt-4.1,baseline,0,hi-en,editing_preservation,True,True,True,True,True,True,[]
rpt_audit_050,hi_en_SA_002,gpt-4.1,contract,0,hi-en,editing_preservation,True,True,True,True,True,True,[]
rpt_audit_051,hi_en_SA_001,gpt-4.1-mini,baseline,0,hi-en,editing_preservation,True,True,True,True,True,True,[]
rpt_audit_052,hi_en_SA_003,gpt-4.1-mini,contract,0,hi-en,editing_preservation,True,True,True,True,True,True,[]
rpt_audit_053,hi_en_SA_005,gpt-4.1-nano,baseline,0,hi-en,editing_preservation,True,True,True,True,True,True,[]
rpt_audit_054,hi_en_SA_005,gpt-4.1-nano,contract,0,hi-en,editing_preservation,True,True,True,True,True,True,[]
rpt_audit_055,hi_en_SB_004,gpt-4.1,baseline,0,hi-en,output_language_inference,True,True,True,True,True,True,[]
rpt_audit_056,hi_en_SB_001,gpt-4.1,contract,0,hi-en,output_language_inference,True,True,True,True,True,True,[]
rpt_audit_057,hi_en_SB_005,gpt-4.1-mini,baseline,0,hi-en,output_language_inference,True,True,True,True,True,True,[]
rpt_audit_058,hi_en_SB_001,gpt-4.1-mini,contract,0,hi-en,output_language_inference,True,True,True,True,True,True,[]
rpt_audit_059,hi_en_SB_002,gpt-4.1-nano,baseline,0,hi-en,output_language_inference,True,True,True,True,True,True,[]
rpt_audit_060,hi_en_SB_003,gpt-4.1-nano,contract,0,hi-en,output_language_inference,True,True,True,True,True,True,[]
rpt_audit_061,hi_en_SC_003,gpt-4.1,baseline,0,hi-en,quote_preservation,True,True,True,True,True,True,[]
rpt_audit_062,hi_en_SC_004,gpt-4.1,contract,0,hi-en,quote_preservation,True,True,True,True,True,True,[]
rpt_audit_063,hi_en_SC_005,gpt-4.1-mini,baseline,0,hi-en,quote_preservation,True,True,True,True,True,True,[]
rpt_audit_064,hi_en_SC_004,gpt-4.1-mini,contract,0,hi-en,quote_preservation,True,True,True,True,True,True,[]
rpt_audit_065,hi_en_SC_001,gpt-4.1-nano,baseline,0,hi-en,quote_preservation,True,True,True,True,True,True,[]
rpt_audit_066,hi_en_SC_003,gpt-4.1-nano,contract,0,hi-en,quote_preservation,True,True,True,True,True,True,[]
rpt_audit_067,hi_en_SD_003,gpt-4.1,baseline,0,hi-en,script_register_locale,True,True,True,True,True,True,[]
rpt_audit_068,hi_en_SD_005,gpt-4.1,contract,0,hi-en,script_register_locale,True,True,True,True,True,True,[]
rpt_audit_069,hi_en_SD_005,gpt-4.1-mini,baseline,0,hi-en,script_register_locale,True,True,True,True,True,True,[]
rpt_audit_070,hi_en_SD_002,gpt-4.1-mini,contract,0,hi-en,script_register_locale,True,True,True,True,True,True,[]
rpt_audit_071,hi_en_SD_001,gpt-4.1-nano,baseline,0,hi-en,script_register_locale,True,True,True,True,True,True,[]
rpt_audit_072,hi_en_SD_004,gpt-4.1-nano,contract,0,hi-en,script_register_locale,True,True,True,True,True,True,[]
