item_id,model_generation,model,condition,language_pair,task_family,ftga,rtt,unresolved,first_turn_tokens,total_input_tokens,total_output_tokens,total_tokens_until_stop,extra_tokens_after_first,token_tax
ar_en_SC_002,GPT-4.1 family,gpt-4.1,baseline,ar-en,quote_preservation,1,0,0,68,53,15,68,0,1.0
ar_en_SC_003,GPT-4.1 family,gpt-4.1,baseline,ar-en,quote_preservation,1,0,0,67,53,14,67,0,1.0
ar_en_SC_004,GPT-4.1 family,gpt-4.1,baseline,ar-en,quote_preservation,1,0,0,68,53,15,68,0,1.0
ar_en_SC_005,GPT-4.1 family,gpt-4.1,baseline,ar-en,quote_preservation,1,0,0,68,53,15,68,0,1.0
ar_en_SC_006,GPT-4.1 family,gpt-4.1,baseline,ar-en,quote_preservation,1,0,0,69,54,15,69,0,1.0
ar_en_SC_007,GPT-4.1 family,gpt-4.1,baseline,ar-en,quote_preservation,1,0,0,68,53,15,68,0,1.0
ar_en_SC_008,GPT-4.1 family,gpt-4.1,baseline,ar-en,quote_preservation,1,0,0,69,54,15,69,0,1.0
ar_en_SC_009,GPT-4.1 family,gpt-4.1,baseline,ar-en,quote_preservation,1,0,0,68,53,15,68,0,1.0
ar_en_SC_010,GPT-4.1 family,gpt-4.1,baseline,ar-en,quote_preservation,1,0,0,67,53,14,67,0,1.0
ar_en_SD_001,GPT-4.1 family,gpt-4.1,baseline,ar-en,script_register_locale,1,0,0,72,57,15,72,0,1.0
ar_en_SD_002,GPT-4.1 family,gpt-4.1,baseline,ar-en,script_register_locale,1,0,0,87,65,22,87,0,1.0
ar_en_SD_003,GPT-4.1 family,gpt-4.1,baseline,ar-en,script_register_locale,1,0,0,76,59,17,76,0,1.0
ar_en_SD_004,GPT-4.1 family,gpt-4.1,baseline,ar-en,script_register_locale,1,0,0,73,58,15,73,0,1.0
ar_en_SD_005,GPT-4.1 family,gpt-4.1,baseline,ar-en,script_register_locale,1,0,0,79,59,20,79,0,1.0
ar_en_SD_006,GPT-4.1 family,gpt-4.1,baseline,ar-en,script_register_locale,0,1,0,100,186,61,247,147,2.47
ar_en_SD_007,GPT-4.1 family,gpt-4.1,baseline,ar-en,script_register_locale,0,1,0,82,163,38,201,119,2.451219512195122
ar_en_SD_008,GPT-4.1 family,gpt-4.1,baseline,ar-en,script_register_locale,0,3,1,109,371,111,482,373,4.422018348623853
ar_en_SD_009,GPT-4.1 family,gpt-4.1,baseline,ar-en,script_register_locale,1,0,0,79,57,22,79,0,1.0
ar_en_SD_010,GPT-4.1 family,gpt-4.1,baseline,ar-en,script_register_locale,0,1,0,86,167,47,214,128,2.488372093023256
es_en_SA_001,GPT-4.1 family,gpt-4.1,baseline,es-en,editing_preservation,0,1,0,200,263,284,547,347,2.735
es_en_SA_002,GPT-4.1 family,gpt-4.1,baseline,es-en,editing_preservation,0,1,0,153,212,204,416,263,2.718954248366013
es_en_SA_003,GPT-4.1 family,gpt-4.1,baseline,es-en,editing_preservation,0,1,0,154,216,200,416,262,2.7012987012987013
es_en_SA_004,GPT-4.1 family,gpt-4.1,baseline,es-en,editing_preservation,0,1,0,148,209,194,403,255,2.722972972972973
es_en_SA_005,GPT-4.1 family,gpt-4.1,baseline,es-en,editing_preservation,0,1,0,100,160,107,267,167,2.67
es_en_SA_006,GPT-4.1 family,gpt-4.1,baseline,es-en,editing_preservation,0,1,0,166,226,235,461,295,2.7771084337349397
es_en_SA_007,GPT-4.1 family,gpt-4.1,baseline,es-en,editing_preservation,0,1,0,157,215,209,424,267,2.700636942675159
es_en_SA_008,GPT-4.1 family,gpt-4.1,baseline,es-en,editing_preservation,0,1,0,141,198,190,388,247,2.75177304964539
es_en_SA_009,GPT-4.1 family,gpt-4.1,baseline,es-en,editing_preservation,0,1,0,162,223,222,445,283,2.746913580246914
es_en_SA_010,GPT-4.1 family,gpt-4.1,baseline,es-en,editing_preservation,0,1,0,138,198,187,385,247,2.789855072463768
es_en_SB_001,GPT-4.1 family,gpt-4.1,baseline,es-en,output_language_inference,1,0,0,52,41,11,52,0,1.0
es_en_SB_002,GPT-4.1 family,gpt-4.1,baseline,es-en,output_language_inference,1,0,0,50,40,10,50,0,1.0
es_en_SB_003,GPT-4.1 family,gpt-4.1,baseline,es-en,output_language_inference,1,0,0,51,40,11,51,0,1.0
es_en_SB_004,GPT-4.1 family,gpt-4.1,baseline,es-en,output_language_inference,1,0,0,51,41,10,51,0,1.0
es_en_SB_005,GPT-4.1 family,gpt-4.1,baseline,es-en,output_language_inference,1,0,0,54,42,12,54,0,1.0
es_en_SB_006,GPT-4.1 family,gpt-4.1,baseline,es-en,output_language_inference,1,0,0,46,38,8,46,0,1.0
es_en_SB_007,GPT-4.1 family,gpt-4.1,baseline,es-en,output_language_inference,1,0,0,46,38,8,46,0,1.0
es_en_SB_008,GPT-4.1 family,gpt-4.1,baseline,es-en,output_language_inference,1,0,0,47,39,8,47,0,1.0
es_en_SB_009,GPT-4.1 family,gpt-4.1,baseline,es-en,output_language_inference,1,0,0,50,40,10,50,0,1.0
es_en_SB_010,GPT-4.1 family,gpt-4.1,baseline,es-en,output_language_inference,1,0,0,49,40,9,49,0,1.0
es_en_SC_001,GPT-4.1 family,gpt-4.1,baseline,es-en,quote_preservation,1,0,0,60,45,15,60,0,1.0
es_en_SC_002,GPT-4.1 family,gpt-4.1,baseline,es-en,quote_preservation,1,0,0,60,45,15,60,0,1.0
es_en_SC_003,GPT-4.1 family,gpt-4.1,baseline,es-en,quote_preservation,1,0,0,60,45,15,60,0,1.0
es_en_SC_004,GPT-4.1 family,gpt-4.1,baseline,es-en,quote_preservation,1,0,0,60,45,15,60,0,1.0
es_en_SC_005,GPT-4.1 family,gpt-4.1,baseline,es-en,quote_preservation,1,0,0,60,45,15,60,0,1.0
es_en_SC_006,GPT-4.1 family,gpt-4.1,baseline,es-en,quote_preservation,1,0,0,62,46,16,62,0,1.0
es_en_SC_007,GPT-4.1 family,gpt-4.1,baseline,es-en,quote_preservation,1,0,0,60,45,15,60,0,1.0
es_en_SC_008,GPT-4.1 family,gpt-4.1,baseline,es-en,quote_preservation,1,0,0,62,46,16,62,0,1.0
es_en_SC_009,GPT-4.1 family,gpt-4.1,baseline,es-en,quote_preservation,1,0,0,60,45,15,60,0,1.0
es_en_SC_010,GPT-4.1 family,gpt-4.1,baseline,es-en,quote_preservation,1,0,0,60,45,15,60,0,1.0
es_en_SD_001,GPT-4.1 family,gpt-4.1,baseline,es-en,script_register_locale,1,0,0,68,52,16,68,0,1.0
es_en_SD_002,GPT-4.1 family,gpt-4.1,baseline,es-en,script_register_locale,1,0,0,88,60,28,88,0,1.0
es_en_SD_003,GPT-4.1 family,gpt-4.1,baseline,es-en,script_register_locale,1,0,0,72,54,18,72,0,1.0
es_en_SD_004,GPT-4.1 family,gpt-4.1,baseline,es-en,script_register_locale,1,0,0,67,53,14,67,0,1.0
es_en_SD_005,GPT-4.1 family,gpt-4.1,baseline,es-en,script_register_locale,1,0,0,68,54,14,68,0,1.0
es_en_SD_006,GPT-4.1 family,gpt-4.1,baseline,es-en,script_register_locale,1,0,0,87,62,25,87,0,1.0
es_en_SD_007,GPT-4.1 family,gpt-4.1,baseline,es-en,script_register_locale,0,1,0,76,152,37,189,113,2.486842105263158
es_en_SD_008,GPT-4.1 family,gpt-4.1,baseline,es-en,script_register_locale,0,3,1,80,295,61,356,276,4.45
es_en_SD_009,GPT-4.1 family,gpt-4.1,baseline,es-en,script_register_locale,1,0,0,74,52,22,74,0,1.0
es_en_SD_010,GPT-4.1 family,gpt-4.1,baseline,es-en,script_register_locale,0,1,0,81,157,47,204,123,2.5185185185185186
hi_en_SA_001,GPT-4.1 family,gpt-4.1,baseline,hi-en,editing_preservation,1,0,0,85,45,40,85,0,1.0
hi_en_SA_002,GPT-4.1 family,gpt-4.1,baseline,hi-en,editing_preservation,1,0,0,70,41,29,70,0,1.0
hi_en_SA_003,GPT-4.1 family,gpt-4.1,baseline,hi-en,editing_preservation,1,0,0,79,44,35,79,0,1.0
hi_en_SA_004,GPT-4.1 family,gpt-4.1,baseline,hi-en,editing_preservation,1,0,0,75,43,32,75,0,1.0
hi_en_SA_005,GPT-4.1 family,gpt-4.1,baseline,hi-en,editing_preservation,1,0,0,72,42,30,72,0,1.0
hi_en_SA_006,GPT-4.1 family,gpt-4.1,baseline,hi-en,editing_preservation,1,0,0,71,42,29,71,0,1.0
hi_en_SA_007,GPT-4.1 family,gpt-4.1,baseline,hi-en,editing_preservation,1,0,0,153,40,113,153,0,1.0
hi_en_SA_008,GPT-4.1 family,gpt-4.1,baseline,hi-en,editing_preservation,1,0,0,123,39,84,123,0,1.0
hi_en_SA_009,GPT-4.1 family,gpt-4.1,baseline,hi-en,editing_preservation,1,0,0,71,43,28,71,0,1.0
hi_en_SA_010,GPT-4.1 family,gpt-4.1,baseline,hi-en,editing_preservation,1,0,0,76,42,34,76,0,1.0
hi_en_SB_001,GPT-4.1 family,gpt-4.1,baseline,hi-en,output_language_inference,1,0,0,49,38,11,49,0,1.0
hi_en_SB_002,GPT-4.1 family,gpt-4.1,baseline,hi-en,output_language_inference,1,0,0,47,37,10,47,0,1.0
hi_en_SB_003,GPT-4.1 family,gpt-4.1,baseline,hi-en,output_language_inference,1,0,0,48,37,11,48,0,1.0
hi_en_SB_004,GPT-4.1 family,gpt-4.1,baseline,hi-en,output_language_inference,1,0,0,48,38,10,48,0,1.0
hi_en_SB_005,GPT-4.1 family,gpt-4.1,baseline,hi-en,output_language_inference,1,0,0,51,39,12,51,0,1.0
hi_en_SB_006,GPT-4.1 family,gpt-4.1,baseline,hi-en,output_language_inference,1,0,0,43,35,8,43,0,1.0
hi_en_SB_007,GPT-4.1 family,gpt-4.1,baseline,hi-en,output_language_inference,1,0,0,43,35,8,43,0,1.0
hi_en_SB_008,GPT-4.1 family,gpt-4.1,baseline,hi-en,output_language_inference,1,0,0,44,36,8,44,0,1.0
hi_en_SB_009,GPT-4.1 family,gpt-4.1,baseline,hi-en,output_language_inference,1,0,0,47,37,10,47,0,1.0
hi_en_SB_010,GPT-4.1 family,gpt-4.1,baseline,hi-en,output_language_inference,1,0,0,46,37,9,46,0,1.0
hi_en_SC_001,GPT-4.1 family,gpt-4.1,baseline,hi-en,quote_preservation,1,0,0,112,49,63,112,0,1.0
hi_en_SC_002,GPT-4.1 family,gpt-4.1,baseline,hi-en,quote_preservation,1,0,0,106,49,57,106,0,1.0
hi_en_SC_003,GPT-4.1 family,gpt-4.1,baseline,hi-en,quote_preservation,1,0,0,118,49,69,118,0,1.0
hi_en_SC_004,GPT-4.1 family,gpt-4.1,baseline,hi-en,quote_preservation,1,0,0,108,49,59,108,0,1.0
hi_en_SC_005,GPT-4.1 family,gpt-4.1,baseline,hi-en,quote_preservation,1,0,0,115,49,66,115,0,1.0
hi_en_SC_006,GPT-4.1 family,gpt-4.1,baseline,hi-en,quote_preservation,1,0,0,139,50,89,139,0,1.0
hi_en_SC_007,GPT-4.1 family,gpt-4.1,baseline,hi-en,quote_preservation,1,0,0,106,49,57,106,0,1.0
hi_en_SC_008,GPT-4.1 family,gpt-4.1,baseline,hi-en,quote_preservation,1,0,0,106,50,56,106,0,1.0
hi_en_SC_009,GPT-4.1 family,gpt-4.1,baseline,hi-en,quote_preservation,1,0,0,107,49,58,107,0,1.0
hi_en_SC_010,GPT-4.1 family,gpt-4.1,baseline,hi-en,quote_preservation,1,0,0,104,49,55,104,0,1.0
hi_en_SD_001,GPT-4.1 family,gpt-4.1,baseline,hi-en,script_register_locale,1,0,0,78,61,17,78,0,1.0
hi_en_SD_002,GPT-4.1 family,gpt-4.1,baseline,hi-en,script_register_locale,1,0,0,89,69,20,89,0,1.0
hi_en_SD_003,GPT-4.1 family,gpt-4.1,baseline,hi-en,script_register_locale,1,0,0,81,63,18,81,0,1.0
hi_en_SD_004,GPT-4.1 family,gpt-4.1,baseline,hi-en,script_register_locale,1,0,0,78,62,16,78,0,1.0
hi_en_SD_005,GPT-4.1 family,gpt-4.1,baseline,hi-en,script_register_locale,1,0,0,82,63,19,82,0,1.0
hi_en_SD_006,GPT-4.1 family,gpt-4.1,baseline,hi-en,script_register_locale,1,0,0,100,71,29,100,0,1.0
hi_en_SD_007,GPT-4.1 family,gpt-4.1,baseline,hi-en,script_register_locale,1,0,0,85,66,19,85,0,1.0
hi_en_SD_008,GPT-4.1 family,gpt-4.1,baseline,hi-en,script_register_locale,0,3,1,95,343,81,424,329,4.463157894736842
hi_en_SD_009,GPT-4.1 family,gpt-4.1,baseline,hi-en,script_register_locale,1,0,0,85,61,24,85,0,1.0
hi_en_SD_010,GPT-4.1 family,gpt-4.1,baseline,hi-en,script_register_locale,1,0,0,83,66,17,83,0,1.0
ar_en_SA_001,GPT-4.1 family,gpt-4.1,contract,ar-en,editing_preservation,1,0,0,239,207,32,239,0,1.0
ar_en_SA_002,GPT-4.1 family,gpt-4.1,contract,ar-en,editing_preservation,1,0,0,237,203,34,237,0,1.0
ar_en_SA_003,GPT-4.1 family,gpt-4.1,contract,ar-en,editing_preservation,1,0,0,233,206,27,233,0,1.0
ar_en_SA_004,GPT-4.1 family,gpt-4.1,contract,ar-en,editing_preservation,1,0,0,227,205,22,227,0,1.0
ar_en_SA_005,GPT-4.1 family,gpt-4.1,contract,ar-en,editing_preservation,1,0,0,223,204,19,223,0,1.0
ar_en_SA_006,GPT-4.1 family,gpt-4.1,contract,ar-en,editing_preservation,1,0,0,243,204,39,243,0,1.0
ar_en_SA_007,GPT-4.1 family,gpt-4.1,contract,ar-en,editing_preservation,1,0,0,219,202,17,219,0,1.0
ar_en_SA_008,GPT-4.1 family,gpt-4.1,contract,ar-en,editing_preservation,1,0,0,221,201,20,221,0,1.0
ar_en_SA_009,GPT-4.1 family,gpt-4.1,contract,ar-en,editing_preservation,1,0,0,220,205,15,220,0,1.0
ar_en_SA_010,GPT-4.1 family,gpt-4.1,contract,ar-en,editing_preservation,1,0,0,230,204,26,230,0,1.0
ar_en_SB_001,GPT-4.1 family,gpt-4.1,contract,ar-en,output_language_inference,1,0,0,206,195,11,206,0,1.0
ar_en_SB_002,GPT-4.1 family,gpt-4.1,contract,ar-en,output_language_inference,1,0,0,204,194,10,204,0,1.0
ar_en_SB_003,GPT-4.1 family,gpt-4.1,contract,ar-en,output_language_inference,1,0,0,205,194,11,205,0,1.0
ar_en_SB_004,GPT-4.1 family,gpt-4.1,contract,ar-en,output_language_inference,1,0,0,205,195,10,205,0,1.0
ar_en_SB_005,GPT-4.1 family,gpt-4.1,contract,ar-en,output_language_inference,1,0,0,208,196,12,208,0,1.0
ar_en_SB_006,GPT-4.1 family,gpt-4.1,contract,ar-en,output_language_inference,1,0,0,200,192,8,200,0,1.0
ar_en_SB_007,GPT-4.1 family,gpt-4.1,contract,ar-en,output_language_inference,1,0,0,200,192,8,200,0,1.0
ar_en_SB_008,GPT-4.1 family,gpt-4.1,contract,ar-en,output_language_inference,1,0,0,201,193,8,201,0,1.0
ar_en_SB_009,GPT-4.1 family,gpt-4.1,contract,ar-en,output_language_inference,1,0,0,204,194,10,204,0,1.0
ar_en_SB_010,GPT-4.1 family,gpt-4.1,contract,ar-en,output_language_inference,1,0,0,203,194,9,203,0,1.0
ar_en_SC_001,GPT-4.1 family,gpt-4.1,contract,ar-en,quote_preservation,1,0,0,225,210,15,225,0,1.0
ar_en_SC_002,GPT-4.1 family,gpt-4.1,contract,ar-en,quote_preservation,1,0,0,225,210,15,225,0,1.0
ar_en_SC_003,GPT-4.1 family,gpt-4.1,contract,ar-en,quote_preservation,1,0,0,227,210,17,227,0,1.0
ar_en_SC_004,GPT-4.1 family,gpt-4.1,contract,ar-en,quote_preservation,1,0,0,225,210,15,225,0,1.0
ar_en_SC_005,GPT-4.1 family,gpt-4.1,contract,ar-en,quote_preservation,1,0,0,225,210,15,225,0,1.0
ar_en_SC_006,GPT-4.1 family,gpt-4.1,contract,ar-en,quote_preservation,1,0,0,227,211,16,227,0,1.0
ar_en_SC_007,GPT-4.1 family,gpt-4.1,contract,ar-en,quote_preservation,1,0,0,224,210,14,224,0,1.0
ar_en_SC_008,GPT-4.1 family,gpt-4.1,contract,ar-en,quote_preservation,1,0,0,227,211,16,227,0,1.0
ar_en_SC_009,GPT-4.1 family,gpt-4.1,contract,ar-en,quote_preservation,1,0,0,225,210,15,225,0,1.0
ar_en_SC_010,GPT-4.1 family,gpt-4.1,contract,ar-en,quote_preservation,1,0,0,225,210,15,225,0,1.0
ar_en_SD_001,GPT-4.1 family,gpt-4.1,contract,ar-en,script_register_locale,1,0,0,229,214,15,229,0,1.0
ar_en_SD_002,GPT-4.1 family,gpt-4.1,contract,ar-en,script_register_locale,1,0,0,244,222,22,244,0,1.0
ar_en_SD_003,GPT-4.1 family,gpt-4.1,contract,ar-en,script_register_locale,1,0,0,232,216,16,232,0,1.0
ar_en_SD_004,GPT-4.1 family,gpt-4.1,contract,ar-en,script_register_locale,1,0,0,228,215,13,228,0,1.0
ar_en_SD_005,GPT-4.1 family,gpt-4.1,contract,ar-en,script_register_locale,1,0,0,229,216,13,229,0,1.0
ar_en_SD_006,GPT-4.1 family,gpt-4.1,contract,ar-en,script_register_locale,0,3,1,250,806,76,882,632,3.528
ar_en_SD_007,GPT-4.1 family,gpt-4.1,contract,ar-en,script_register_locale,0,1,0,238,476,37,513,275,2.1554621848739495
ar_en_SD_008,GPT-4.1 family,gpt-4.1,contract,ar-en,script_register_locale,0,3,1,261,827,92,919,658,3.521072796934866
ar_en_SD_009,GPT-4.1 family,gpt-4.1,contract,ar-en,script_register_locale,1,0,0,241,214,27,241,0,1.0
ar_en_SD_010,GPT-4.1 family,gpt-4.1,contract,ar-en,script_register_locale,0,3,1,243,784,71,855,612,3.5185185185185186
es_en_SA_001,GPT-4.1 family,gpt-4.1,contract,es-en,editing_preservation,1,0,0,226,205,21,226,0,1.0
es_en_SA_002,GPT-4.1 family,gpt-4.1,contract,es-en,editing_preservation,1,0,0,217,201,16,217,0,1.0
es_en_SA_003,GPT-4.1 family,gpt-4.1,contract,es-en,editing_preservation,1,0,0,234,204,30,234,0,1.0
es_en_SA_004,GPT-4.1 family,gpt-4.1,contract,es-en,editing_preservation,1,0,0,232,203,29,232,0,1.0
es_en_SA_005,GPT-4.1 family,gpt-4.1,contract,es-en,editing_preservation,1,0,0,230,202,28,230,0,1.0
es_en_SA_006,GPT-4.1 family,gpt-4.1,contract,es-en,editing_preservation,1,0,0,228,202,26,228,0,1.0
es_en_SA_007,GPT-4.1 family,gpt-4.1,contract,es-en,editing_preservation,1,0,0,217,200,17,217,0,1.0
es_en_SA_008,GPT-4.1 family,gpt-4.1,contract,es-en,editing_preservation,1,0,0,218,199,19,218,0,1.0
es_en_SA_009,GPT-4.1 family,gpt-4.1,contract,es-en,editing_preservation,1,0,0,266,203,63,266,0,1.0
es_en_SA_010,GPT-4.1 family,gpt-4.1,contract,es-en,editing_preservation,0,1,0,231,448,59,507,276,2.1948051948051948
es_en_SB_001,GPT-4.1 family,gpt-4.1,contract,es-en,output_language_inference,1,0,0,209,198,11,209,0,1.0
es_en_SB_002,GPT-4.1 family,gpt-4.1,contract,es-en,output_language_inference,1,0,0,207,197,10,207,0,1.0
es_en_SB_003,GPT-4.1 family,gpt-4.1,contract,es-en,output_language_inference,1,0,0,208,197,11,208,0,1.0
es_en_SB_004,GPT-4.1 family,gpt-4.1,contract,es-en,output_language_inference,1,0,0,208,198,10,208,0,1.0
es_en_SB_005,GPT-4.1 family,gpt-4.1,contract,es-en,output_language_inference,1,0,0,211,199,12,211,0,1.0
es_en_SB_006,GPT-4.1 family,gpt-4.1,contract,es-en,output_language_inference,1,0,0,203,195,8,203,0,1.0
es_en_SB_007,GPT-4.1 family,gpt-4.1,contract,es-en,output_language_inference,1,0,0,203,195,8,203,0,1.0
es_en_SB_008,GPT-4.1 family,gpt-4.1,contract,es-en,output_language_inference,1,0,0,204,196,8,204,0,1.0
es_en_SB_009,GPT-4.1 family,gpt-4.1,contract,es-en,output_language_inference,1,0,0,207,197,10,207,0,1.0
es_en_SB_010,GPT-4.1 family,gpt-4.1,contract,es-en,output_language_inference,1,0,0,206,197,9,206,0,1.0
es_en_SC_001,GPT-4.1 family,gpt-4.1,contract,es-en,quote_preservation,1,0,0,217,202,15,217,0,1.0
es_en_SC_002,GPT-4.1 family,gpt-4.1,contract,es-en,quote_preservation,1,0,0,217,202,15,217,0,1.0
es_en_SC_003,GPT-4.1 family,gpt-4.1,contract,es-en,quote_preservation,1,0,0,217,202,15,217,0,1.0
es_en_SC_004,GPT-4.1 family,gpt-4.1,contract,es-en,quote_preservation,1,0,0,217,202,15,217,0,1.0
es_en_SC_005,GPT-4.1 family,gpt-4.1,contract,es-en,quote_preservation,1,0,0,217,202,15,217,0,1.0
es_en_SC_006,GPT-4.1 family,gpt-4.1,contract,es-en,quote_preservation,1,0,0,219,203,16,219,0,1.0
es_en_SC_007,GPT-4.1 family,gpt-4.1,contract,es-en,quote_preservation,1,0,0,217,202,15,217,0,1.0
es_en_SC_008,GPT-4.1 family,gpt-4.1,contract,es-en,quote_preservation,1,0,0,219,203,16,219,0,1.0
es_en_SC_009,GPT-4.1 family,gpt-4.1,contract,es-en,quote_preservation,1,0,0,217,202,15,217,0,1.0
es_en_SC_010,GPT-4.1 family,gpt-4.1,contract,es-en,quote_preservation,1,0,0,217,202,15,217,0,1.0
es_en_SD_001,GPT-4.1 family,gpt-4.1,contract,es-en,script_register_locale,1,0,0,225,209,16,225,0,1.0
es_en_SD_002,GPT-4.1 family,gpt-4.1,contract,es-en,script_register_locale,1,0,0,245,217,28,245,0,1.0
es_en_SD_003,GPT-4.1 family,gpt-4.1,contract,es-en,script_register_locale,1,0,0,229,211,18,229,0,1.0
es_en_SD_004,GPT-4.1 family,gpt-4.1,contract,es-en,script_register_locale,1,0,0,224,210,14,224,0,1.0
es_en_SD_005,GPT-4.1 family,gpt-4.1,contract,es-en,script_register_locale,1,0,0,225,211,14,225,0,1.0
es_en_SD_006,GPT-4.1 family,gpt-4.1,contract,es-en,script_register_locale,1,0,0,245,219,26,245,0,1.0
es_en_SD_007,GPT-4.1 family,gpt-4.1,contract,es-en,script_register_locale,1,0,0,233,214,19,233,0,1.0
es_en_SD_008,GPT-4.1 family,gpt-4.1,contract,es-en,script_register_locale,0,3,1,237,766,61,827,590,3.4894514767932487
es_en_SD_009,GPT-4.1 family,gpt-4.1,contract,es-en,script_register_locale,1,0,0,229,209,20,229,0,1.0
es_en_SD_010,GPT-4.1 family,gpt-4.1,contract,es-en,script_register_locale,0,1,0,238,471,47,518,280,2.176470588235294
hi_en_SA_001,GPT-4.1 family,gpt-4.1,contract,hi-en,editing_preservation,1,0,0,223,202,21,223,0,1.0
hi_en_SA_002,GPT-4.1 family,gpt-4.1,contract,hi-en,editing_preservation,1,0,0,215,198,17,215,0,1.0
hi_en_SA_003,GPT-4.1 family,gpt-4.1,contract,hi-en,editing_preservation,1,0,0,220,201,19,220,0,1.0
hi_en_SA_004,GPT-4.1 family,gpt-4.1,contract,hi-en,editing_preservation,1,0,0,221,200,21,221,0,1.0
hi_en_SA_005,GPT-4.1 family,gpt-4.1,contract,hi-en,editing_preservation,1,0,0,217,199,18,217,0,1.0
hi_en_SA_006,GPT-4.1 family,gpt-4.1,contract,hi-en,editing_preservation,1,0,0,217,199,18,217,0,1.0
hi_en_SA_007,GPT-4.1 family,gpt-4.1,contract,hi-en,editing_preservation,1,0,0,219,197,22,219,0,1.0
hi_en_SA_008,GPT-4.1 family,gpt-4.1,contract,hi-en,editing_preservation,1,0,0,215,196,19,215,0,1.0
hi_en_SA_009,GPT-4.1 family,gpt-4.1,contract,hi-en,editing_preservation,1,0,0,217,200,17,217,0,1.0
hi_en_SA_010,GPT-4.1 family,gpt-4.1,contract,hi-en,editing_preservation,1,0,0,217,199,18,217,0,1.0
hi_en_SB_001,GPT-4.1 family,gpt-4.1,contract,hi-en,output_language_inference,1,0,0,206,195,11,206,0,1.0
hi_en_SB_002,GPT-4.1 family,gpt-4.1,contract,hi-en,output_language_inference,1,0,0,204,194,10,204,0,1.0
hi_en_SB_003,GPT-4.1 family,gpt-4.1,contract,hi-en,output_language_inference,1,0,0,205,194,11,205,0,1.0
hi_en_SB_004,GPT-4.1 family,gpt-4.1,contract,hi-en,output_language_inference,1,0,0,205,195,10,205,0,1.0
hi_en_SB_005,GPT-4.1 family,gpt-4.1,contract,hi-en,output_language_inference,1,0,0,208,196,12,208,0,1.0
hi_en_SB_006,GPT-4.1 family,gpt-4.1,contract,hi-en,output_language_inference,1,0,0,200,192,8,200,0,1.0
hi_en_SB_007,GPT-4.1 family,gpt-4.1,contract,hi-en,output_language_inference,1,0,0,200,192,8,200,0,1.0
hi_en_SB_008,GPT-4.1 family,gpt-4.1,contract,hi-en,output_language_inference,1,0,0,201,193,8,201,0,1.0
