review_id,item_id,coverage_slice,language_pair,instruction_language,content_language,task_family,user_prompt,expected_response_language,expected_script,must_preserve_spans,required_any_markers,forbidden_markers,known_bad_outputs,register_requirement,locale_requirement,notes_for_reviewers,reviewer_id,reviewer_prompt_clear,reviewer_target_language_natural,reviewer_script_expectation_valid,reviewer_preservation_spans_valid,reviewer_known_bad_outputs_valid,reviewer_release_usable,reviewer_issue_types,reviewer_notes
rpt_v03_native_011,v03_en_ar_EP_001,english_instruction_arabic_content,en-ar,English,Arabic,editing_preservation,"Please polish this Arabic note while keeping the answer in Arabic and not translating it into English: ""أنهى الفريق المسودة، لكن الخاتمة تحتاج إلى توضيح قبل الإرسال.""",Arabic,Arabic,"[""المسودة"", ""الخاتمة""]","[""المسودة"", ""الخاتمة""]","[""Here is"", ""Claro"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Arabic target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_012,v03_en_ar_EP_002,english_instruction_arabic_content,en-ar,English,Arabic,editing_preservation,"Please polish this Arabic note while keeping the answer in Arabic and not translating it into English: ""ستفتح المكتبة مبكرا يوم الاثنين لأن جلسة القراءة ستبدأ صباحا.""",Arabic,Arabic,"[""المكتبة"", ""جلسة القراءة""]","[""المكتبة"", ""جلسة القراءة""]","[""Here is"", ""Claro"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Arabic target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_013,v03_en_ar_EP_003,english_instruction_arabic_content,en-ar,English,Arabic,editing_preservation,"Please polish this Arabic note while keeping the answer in Arabic and not translating it into English: ""وافق العميل على التصميم، لكنه طلب تعديلات في الغلاف.""",Arabic,Arabic,"[""العميل"", ""الغلاف""]","[""العميل"", ""الغلاف""]","[""Here is"", ""Claro"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Arabic target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_014,v03_en_ar_EP_004,english_instruction_arabic_content,en-ar,English,Arabic,editing_preservation,"Please polish this Arabic note while keeping the answer in Arabic and not translating it into English: ""تقدم الصف في المشروع، لكن الملخص النهائي يحتاج إلى أمثلة.""",Arabic,Arabic,"[""المشروع"", ""الملخص النهائي""]","[""المشروع"", ""الملخص النهائي""]","[""Here is"", ""Claro"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Arabic target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_015,v03_en_ar_EP_005,english_instruction_arabic_content,en-ar,English,Arabic,editing_preservation,"Please polish this Arabic note while keeping the answer in Arabic and not translating it into English: ""وصلت الحملة إلى عائلات جديدة وتلقت ملاحظات حول التقويم.""",Arabic,Arabic,"[""الحملة"", ""التقويم""]","[""الحملة"", ""التقويم""]","[""Here is"", ""Claro"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Arabic target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_016,v03_en_ar_EP_006,english_instruction_arabic_content,en-ar,English,Arabic,editing_preservation,"Please polish this Arabic note while keeping the answer in Arabic and not translating it into English: ""أكد المكتب موعد الاجتماع، لكن الميزانية لم تعتمد بعد.""",Arabic,Arabic,"[""الاجتماع"", ""الميزانية""]","[""الاجتماع"", ""الميزانية""]","[""Here is"", ""Claro"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Arabic target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_017,v03_en_ar_EP_007,english_instruction_arabic_content,en-ar,English,Arabic,editing_preservation,"Please polish this Arabic note while keeping the answer in Arabic and not translating it into English: ""شرح المعلم التمرين وطلب تسجيل التقدم اليومي.""",Arabic,Arabic,"[""التمرين"", ""التقدم اليومي""]","[""التمرين"", ""التقدم اليومي""]","[""Here is"", ""Claro"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Arabic target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_018,v03_en_ar_EP_008,english_instruction_arabic_content,en-ar,English,Arabic,editing_preservation,"Please polish this Arabic note while keeping the answer in Arabic and not translating it into English: ""حدث المتجر المخزون وخصص مساحة للمنتجات المحلية.""",Arabic,Arabic,"[""المخزون"", ""المنتجات المحلية""]","[""المخزون"", ""المنتجات المحلية""]","[""Here is"", ""Claro"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Arabic target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_019,v03_en_ar_EP_009,english_instruction_arabic_content,en-ar,English,Arabic,editing_preservation,"Please polish this Arabic note while keeping the answer in Arabic and not translating it into English: ""نشر المتحف البرنامج وأضاف جولة إرشادية في المساء.""",Arabic,Arabic,"[""البرنامج"", ""جولة إرشادية""]","[""البرنامج"", ""جولة إرشادية""]","[""Here is"", ""Claro"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Arabic target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_020,v03_en_ar_EP_010,english_instruction_arabic_content,en-ar,English,Arabic,editing_preservation,"Please polish this Arabic note while keeping the answer in Arabic and not translating it into English: ""أغلقت المؤسسة الاستبيان وستشارك النتائج في أغسطس.""",Arabic,Arabic,"[""الاستبيان"", ""النتائج""]","[""الاستبيان"", ""النتائج""]","[""Here is"", ""Claro"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Arabic target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_021,v03_en_hi_EP_001,english_instruction_hindi_content,en-hi,English,Hindi,editing_preservation,"Please polish this Hindi note while keeping the answer in Hindi Devanagari and not translating it into English: ""टीम ने मसौदा पूरा कर लिया है, लेकिन निष्कर्ष अभी कमजोर लग रहा है।""",Hindi,Devanagari,"[""मसौदा"", ""निष्कर्ष""]","[""मसौदा"", ""निष्कर्ष""]","[""Here is"", ""Claro"", ""بالطبع"", ""إليك""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Hindi Devanagari target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_022,v03_en_hi_EP_002,english_instruction_hindi_content,en-hi,English,Hindi,editing_preservation,"Please polish this Hindi note while keeping the answer in Hindi Devanagari and not translating it into English: ""पुस्तकालय सोमवार को जल्दी खुलेगा क्योंकि पढ़ने का सत्र रखा गया है।""",Hindi,Devanagari,"[""पुस्तकालय"", ""पढ़ने का सत्र""]","[""पुस्तकालय"", ""पढ़ने का सत्र""]","[""Here is"", ""Claro"", ""بالطبع"", ""إليك""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Hindi Devanagari target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_023,v03_en_hi_EP_003,english_instruction_hindi_content,en-hi,English,Hindi,editing_preservation,"Please polish this Hindi note while keeping the answer in Hindi Devanagari and not translating it into English: ""ग्राहक ने डिजाइन स्वीकार किया, पर आवरण में बदलाव मांगे हैं।""",Hindi,Devanagari,"[""ग्राहक"", ""आवरण""]","[""ग्राहक"", ""आवरण""]","[""Here is"", ""Claro"", ""بالطبع"", ""إليك""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Hindi Devanagari target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_024,v03_en_hi_EP_004,english_instruction_hindi_content,en-hi,English,Hindi,editing_preservation,"Please polish this Hindi note while keeping the answer in Hindi Devanagari and not translating it into English: ""कक्षा ने परियोजना पर काम बढ़ाया, लेकिन अंतिम सारांश में उदाहरण चाहिए।""",Hindi,Devanagari,"[""परियोजना"", ""अंतिम सारांश""]","[""परियोजना"", ""अंतिम सारांश""]","[""Here is"", ""Claro"", ""بالطبع"", ""إليك""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Hindi Devanagari target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_025,v03_en_hi_EP_005,english_instruction_hindi_content,en-hi,English,Hindi,editing_preservation,"Please polish this Hindi note while keeping the answer in Hindi Devanagari and not translating it into English: ""अभियान नए परिवारों तक पहुँचा और कैलेंडर पर सुझाव मिले।""",Hindi,Devanagari,"[""अभियान"", ""कैलेंडर""]","[""अभियान"", ""कैलेंडर""]","[""Here is"", ""Claro"", ""بالطبع"", ""إليك""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Hindi Devanagari target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_026,v03_en_hi_EP_006,english_instruction_hindi_content,en-hi,English,Hindi,editing_preservation,"Please polish this Hindi note while keeping the answer in Hindi Devanagari and not translating it into English: ""कार्यालय ने बैठक की पुष्टि की, लेकिन बजट अभी तय नहीं हुआ है।""",Hindi,Devanagari,"[""बैठक"", ""बजट""]","[""बैठक"", ""बजट""]","[""Here is"", ""Claro"", ""بالطبع"", ""إليك""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Hindi Devanagari target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_027,v03_en_hi_EP_007,english_instruction_hindi_content,en-hi,English,Hindi,editing_preservation,"Please polish this Hindi note while keeping the answer in Hindi Devanagari and not translating it into English: ""शिक्षक ने अभ्यास समझाया और दैनिक प्रगति लिखने को कहा।""",Hindi,Devanagari,"[""अभ्यास"", ""दैनिक प्रगति""]","[""अभ्यास"", ""दैनिक प्रगति""]","[""Here is"", ""Claro"", ""بالطبع"", ""إليك""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Hindi Devanagari target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_028,v03_en_hi_EP_008,english_instruction_hindi_content,en-hi,English,Hindi,editing_preservation,"Please polish this Hindi note while keeping the answer in Hindi Devanagari and not translating it into English: ""दुकान ने भंडार अपडेट किया और स्थानीय उत्पादों के लिए जगह रखी।""",Hindi,Devanagari,"[""भंडार"", ""स्थानीय उत्पादों""]","[""भंडार"", ""स्थानीय उत्पादों""]","[""Here is"", ""Claro"", ""بالطبع"", ""إليك""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Hindi Devanagari target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_029,v03_en_hi_EP_009,english_instruction_hindi_content,en-hi,English,Hindi,editing_preservation,"Please polish this Hindi note while keeping the answer in Hindi Devanagari and not translating it into English: ""संग्रहालय ने कार्यक्रम जारी किया और शाम की निर्देशित यात्रा जोड़ी।""",Hindi,Devanagari,"[""कार्यक्रम"", ""निर्देशित यात्रा""]","[""कार्यक्रम"", ""निर्देशित यात्रा""]","[""Here is"", ""Claro"", ""بالطبع"", ""إليك""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Hindi Devanagari target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_030,v03_en_hi_EP_010,english_instruction_hindi_content,en-hi,English,Hindi,editing_preservation,"Please polish this Hindi note while keeping the answer in Hindi Devanagari and not translating it into English: ""संस्था ने सर्वेक्षण बंद किया और अगस्त में परिणाम साझा करेगी।""",Hindi,Devanagari,"[""सर्वेक्षण"", ""परिणाम""]","[""सर्वेक्षण"", ""परिणाम""]","[""Here is"", ""Claro"", ""بالطبع"", ""إليك""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Hindi Devanagari target content. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_031,v03_en_es_EP_001,english_instruction_spanish_content,en-es,English,Spanish,editing_preservation,"Please polish this Spanish update while keeping the answer in Spanish and not translating it into English: ""El equipo terminó el informe, pero falta revisar la conclusión antes de enviarlo.""",Spanish,Latin,"[""informe"", ""conclusión""]","[""informe"", ""conclusión""]","[""Here is"", ""The team"", ""بالطبع"", ""إليك"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Spanish target content; preserves the target language. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_032,v03_en_es_EP_002,english_instruction_spanish_content,en-es,English,Spanish,editing_preservation,"Please polish this Spanish update while keeping the answer in Spanish and not translating it into English: ""La biblioteca abrirá más temprano el lunes porque hay una sesión de lectura.""",Spanish,Latin,"[""biblioteca"", ""sesión de lectura""]","[""biblioteca"", ""sesión de lectura""]","[""Here is"", ""The team"", ""بالطبع"", ""إليك"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Spanish target content; preserves the target language. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_033,v03_en_es_EP_003,english_instruction_spanish_content,en-es,English,Spanish,editing_preservation,"Please polish this Spanish update while keeping the answer in Spanish and not translating it into English: ""El cliente aprobó el diseño, aunque pidió cambios en la portada.""",Spanish,Latin,"[""cliente"", ""portada""]","[""cliente"", ""portada""]","[""Here is"", ""The team"", ""بالطبع"", ""إليك"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Spanish target content; preserves the target language. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_034,v03_en_es_EP_004,english_instruction_spanish_content,en-es,English,Spanish,editing_preservation,"Please polish this Spanish update while keeping the answer in Spanish and not translating it into English: ""La clase avanzó con el proyecto, pero el resumen final necesita ejemplos.""",Spanish,Latin,"[""proyecto"", ""resumen final""]","[""proyecto"", ""resumen final""]","[""Here is"", ""The team"", ""بالطبع"", ""إليك"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Spanish target content; preserves the target language. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_035,v03_en_es_EP_005,english_instruction_spanish_content,en-es,English,Spanish,editing_preservation,"Please polish this Spanish update while keeping the answer in Spanish and not translating it into English: ""La campaña llegó a nuevos grupos y recibió comentarios sobre el calendario.""",Spanish,Latin,"[""campaña"", ""calendario""]","[""campaña"", ""calendario""]","[""Here is"", ""The team"", ""بالطبع"", ""إليك"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Spanish target content; preserves the target language. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_036,v03_en_es_EP_006,english_instruction_spanish_content,en-es,English,Spanish,editing_preservation,"Please polish this Spanish update while keeping the answer in Spanish and not translating it into English: ""La oficina confirmó la reunión, pero el presupuesto todavía está pendiente.""",Spanish,Latin,"[""reunión"", ""presupuesto""]","[""reunión"", ""presupuesto""]","[""Here is"", ""The team"", ""بالطبع"", ""إليك"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Spanish target content; preserves the target language. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_037,v03_en_es_EP_007,english_instruction_spanish_content,en-es,English,Spanish,editing_preservation,"Please polish this Spanish update while keeping the answer in Spanish and not translating it into English: ""El instructor explicó el tratamiento del tema y pidió registrar dudas diarias.""",Spanish,Latin,"[""instructor"", ""dudas diarias""]","[""instructor"", ""dudas diarias""]","[""Here is"", ""The team"", ""بالطبع"", ""إليك"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Spanish target content; preserves the target language. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_038,v03_en_es_EP_008,english_instruction_spanish_content,en-es,English,Spanish,editing_preservation,"Please polish this Spanish update while keeping the answer in Spanish and not translating it into English: ""La tienda actualizó el inventario y reservó más espacio para productos locales.""",Spanish,Latin,"[""inventario"", ""productos locales""]","[""inventario"", ""productos locales""]","[""Here is"", ""The team"", ""بالطبع"", ""إليك"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Spanish target content; preserves the target language. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
rpt_v03_native_039,v03_en_es_EP_009,english_instruction_spanish_content,en-es,English,Spanish,editing_preservation,"Please polish this Spanish update while keeping the answer in Spanish and not translating it into English: ""El museo publicó el programa y añadió una visita guiada por la tarde.""",Spanish,Latin,"[""programa"", ""visita guiada""]","[""programa"", ""visita guiada""]","[""Here is"", ""The team"", ""بالطبع"", ""إليك"", ""प्रिय"", ""नमस्ते""]","[""translation into the instruction language"", ""English paraphrase of the target-language content"", ""omission or translation of preserved target-language terms""]",natural edited message in the target content language,,English instruction with Spanish target content; preserves the target language. Synthetic scaffold only; requires native validation before claims.,,,,,,,,,
