item_id,language_pair,task_family,baseline_fail_models_n,contract_fail_models_n,fail_models_reduction,baseline_failure_models,contract_failure_models,baseline_unresolved_models_n,contract_unresolved_models_n,baseline_unresolved_models,contract_unresolved_models,baseline_mean_rtt,contract_mean_rtt,mean_rtt_reduction,baseline_mean_token_tax,contract_mean_token_tax,mean_token_tax_reduction
ar_en_SC_003,ar-en,quote_preservation,1,1,0,gpt-4.1-nano,gpt-4.1-nano,1,0,gpt-4.1-nano,,1.0,0.667,0.333,2.315,1.814,0.501
ar_en_SC_004,ar-en,quote_preservation,1,1,0,gpt-4.1-nano,gpt-4.1-nano,0,1,,gpt-4.1-nano,0.667,1.0,-0.333,2.329,1.889,0.439
ar_en_SC_005,ar-en,quote_preservation,1,1,0,gpt-4.1-nano,gpt-4.1-nano,1,0,gpt-4.1-nano,,1.0,0.333,0.667,2.417,1.379,1.037
ar_en_SC_006,ar-en,quote_preservation,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
ar_en_SC_007,ar-en,quote_preservation,1,0,1,gpt-4.1-nano,,0,0,,,0.333,0.0,0.333,1.486,1.0,0.486
ar_en_SC_008,ar-en,quote_preservation,1,1,0,gpt-4.1-nano,gpt-4.1-nano,0,0,,,0.667,0.333,0.333,2.315,1.381,0.934
ar_en_SC_009,ar-en,quote_preservation,1,1,0,gpt-4.1-nano,gpt-4.1-nano,0,0,,,0.333,0.333,0.0,1.486,1.382,0.104
ar_en_SC_010,ar-en,quote_preservation,1,1,0,gpt-4.1-nano,gpt-4.1-nano,0,0,,,0.333,0.333,0.0,1.568,1.381,0.187
ar_en_SD_001,ar-en,script_register_locale,2,2,0,gpt-4.1-mini;gpt-4.1-nano,gpt-4.1-mini;gpt-4.1-nano,0,0,,,0.667,0.667,0.0,1.959,1.762,0.196
ar_en_SD_002,ar-en,script_register_locale,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
ar_en_SD_003,ar-en,script_register_locale,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
ar_en_SD_004,ar-en,script_register_locale,1,1,0,gpt-4.1-nano,gpt-4.1-nano,0,0,,,0.333,0.333,0.0,1.491,1.38,0.111
ar_en_SD_005,ar-en,script_register_locale,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
ar_en_SD_006,ar-en,script_register_locale,3,3,0,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,1,2,gpt-4.1-nano,gpt-4.1;gpt-4.1-nano,1.667,2.333,-0.667,3.116,3.076,0.04
ar_en_SD_007,ar-en,script_register_locale,3,3,0,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,0,0,,,1.0,1.0,0.0,2.534,2.157,0.377
ar_en_SD_008,ar-en,script_register_locale,3,3,0,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,2,3,gpt-4.1;gpt-4.1-nano,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,2.667,3.0,-0.333,4.477,3.585,0.892
ar_en_SD_009,ar-en,script_register_locale,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
ar_en_SD_010,ar-en,script_register_locale,3,3,0,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,0,1,,gpt-4.1,1.0,1.667,-0.667,2.494,2.625,-0.131
es_en_SA_001,es-en,editing_preservation,3,1,2,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,gpt-4.1-mini,0,0,,,1.0,0.333,0.667,2.628,1.401,1.227
es_en_SA_002,es-en,editing_preservation,3,2,1,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,gpt-4.1-mini;gpt-4.1-nano,0,0,,,1.0,0.667,0.333,2.657,1.791,0.867
es_en_SA_003,es-en,editing_preservation,3,2,1,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,gpt-4.1-mini;gpt-4.1-nano,0,0,,,1.0,0.667,0.333,2.633,1.795,0.838
es_en_SA_004,es-en,editing_preservation,3,2,1,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,gpt-4.1-mini;gpt-4.1-nano,0,0,,,1.0,0.667,0.333,2.673,1.799,0.874
es_en_SA_005,es-en,editing_preservation,3,2,1,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,gpt-4.1-mini;gpt-4.1-nano,0,0,,,1.0,0.667,0.333,2.664,1.788,0.876
es_en_SA_006,es-en,editing_preservation,3,2,1,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,gpt-4.1-mini;gpt-4.1-nano,0,0,,,1.0,0.667,0.333,2.601,1.79,0.811
es_en_SA_007,es-en,editing_preservation,3,2,1,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,gpt-4.1-mini;gpt-4.1-nano,0,0,,,1.0,0.667,0.333,2.725,1.789,0.936
es_en_SA_008,es-en,editing_preservation,3,2,1,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,gpt-4.1-mini;gpt-4.1-nano,0,0,,,1.0,0.667,0.333,2.649,1.787,0.862
es_en_SA_009,es-en,editing_preservation,3,2,1,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,gpt-4.1-mini;gpt-4.1-nano,0,0,,,1.0,0.667,0.333,2.779,1.828,0.951
es_en_SA_010,es-en,editing_preservation,3,3,0,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,0,0,,,1.0,1.0,0.0,2.643,2.194,0.449
es_en_SB_001,es-en,output_language_inference,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
es_en_SB_002,es-en,output_language_inference,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
es_en_SB_003,es-en,output_language_inference,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
es_en_SB_004,es-en,output_language_inference,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
es_en_SB_005,es-en,output_language_inference,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
es_en_SB_006,es-en,output_language_inference,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
es_en_SB_007,es-en,output_language_inference,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
es_en_SB_008,es-en,output_language_inference,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
es_en_SB_009,es-en,output_language_inference,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
es_en_SB_010,es-en,output_language_inference,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
es_en_SC_001,es-en,quote_preservation,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
es_en_SC_002,es-en,quote_preservation,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
es_en_SC_003,es-en,quote_preservation,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
es_en_SC_004,es-en,quote_preservation,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
es_en_SC_005,es-en,quote_preservation,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
es_en_SC_006,es-en,quote_preservation,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
es_en_SC_007,es-en,quote_preservation,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
es_en_SC_008,es-en,quote_preservation,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
es_en_SC_009,es-en,quote_preservation,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
es_en_SC_010,es-en,quote_preservation,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
es_en_SD_001,es-en,script_register_locale,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
es_en_SD_002,es-en,script_register_locale,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
es_en_SD_003,es-en,script_register_locale,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
es_en_SD_004,es-en,script_register_locale,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
es_en_SD_005,es-en,script_register_locale,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
es_en_SD_006,es-en,script_register_locale,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
es_en_SD_007,es-en,script_register_locale,2,1,1,gpt-4.1;gpt-4.1-mini,gpt-4.1-mini,0,0,,,0.667,0.333,0.333,1.991,1.388,0.604
es_en_SD_008,es-en,script_register_locale,3,3,0,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,2,3,gpt-4.1;gpt-4.1-mini,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,2.667,3.0,-0.333,4.482,3.507,0.974
es_en_SD_009,es-en,script_register_locale,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
es_en_SD_010,es-en,script_register_locale,3,3,0,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,0,0,,,1.0,1.0,0.0,2.51,2.174,0.337
hi_en_SA_001,hi-en,editing_preservation,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SA_002,hi-en,editing_preservation,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SA_003,hi-en,editing_preservation,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SA_004,hi-en,editing_preservation,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SA_005,hi-en,editing_preservation,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SA_006,hi-en,editing_preservation,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SA_007,hi-en,editing_preservation,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SA_008,hi-en,editing_preservation,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SA_009,hi-en,editing_preservation,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SA_010,hi-en,editing_preservation,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SB_001,hi-en,output_language_inference,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SB_002,hi-en,output_language_inference,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SB_003,hi-en,output_language_inference,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SB_004,hi-en,output_language_inference,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SB_005,hi-en,output_language_inference,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SB_006,hi-en,output_language_inference,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SB_007,hi-en,output_language_inference,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SB_008,hi-en,output_language_inference,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SB_009,hi-en,output_language_inference,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SB_010,hi-en,output_language_inference,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SC_001,hi-en,quote_preservation,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SC_002,hi-en,quote_preservation,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SC_003,hi-en,quote_preservation,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SC_004,hi-en,quote_preservation,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SC_005,hi-en,quote_preservation,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SC_006,hi-en,quote_preservation,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SC_007,hi-en,quote_preservation,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SC_008,hi-en,quote_preservation,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SC_009,hi-en,quote_preservation,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SC_010,hi-en,quote_preservation,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SD_001,hi-en,script_register_locale,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SD_002,hi-en,script_register_locale,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SD_003,hi-en,script_register_locale,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SD_004,hi-en,script_register_locale,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SD_005,hi-en,script_register_locale,1,0,1,gpt-4.1-nano,,0,0,,,0.333,0.0,0.333,1.471,1.0,0.471
hi_en_SD_006,hi-en,script_register_locale,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SD_007,hi-en,script_register_locale,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
hi_en_SD_008,hi-en,script_register_locale,3,3,0,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,gpt-4.1;gpt-4.1-mini;gpt-4.1-nano,2,2,gpt-4.1;gpt-4.1-nano,gpt-4.1;gpt-4.1-nano,2.667,2.333,0.333,4.364,3.051,1.313
hi_en_SD_009,hi-en,script_register_locale,0,1,-1,,gpt-4.1-nano,0,0,,,0.0,0.333,-0.333,1.0,1.399,-0.399
hi_en_SD_010,hi-en,script_register_locale,0,0,0,,,0,0,,,0.0,0.0,0.0,1.0,1.0,0.0
