item_id,model,condition,language_pair,repair_variant,standard_pass,variant_pass,standard_failure_types,variant_failure_types,variant_response
es_en_SA_007,gpt-4.1-nano,baseline,es-en,frustrated_dont_translate,True,False,[],"[""wrong_output_language""]","¡Entendido! Aquí tienes una versión más natural en inglés:    ""Can you let the client know that the payment will be arriving next week?""    ¿Quieres que sea más formal, informal o simplemente más natural?"
es_en_SA_007,gpt-4.1-nano,baseline,es-en,explicit_contract,True,False,[],"[""wrong_output_language""]","¡Entendido! Aquí tienes una versión más natural en inglés, manteniendo la instrucción en español:    ""Could you inform the client that the payment will arrive next week?""    ¿Quieres que sea más formal, informal o simplemente más natural?"
es_en_SA_008,gpt-4.1-mini,baseline,es-en,explicit_contract,True,False,[],"[""wrong_output_language""]","Entendido, aquí tienes una versión más natural en inglés:  “The survey question comes across as too direct and might make people feel uncomfortable.”   ¿Quieres que lo haga más formal o más casual?"
es_en_SA_008,gpt-4.1-nano,baseline,es-en,frustrated_dont_translate,True,False,[],"[""wrong_output_language""]","Entendido. Aquí tienes una versión más natural en inglés:  ""The survey question feels a bit too direct and might make people uncomfortable."""
es_en_SA_008,gpt-4.1-nano,baseline,es-en,explicit_contract,True,False,[],"[""wrong_output_language""]","Entendido. Aquí tienes una versión más natural en inglés, manteniendo la instrucción en español:  ""The survey question feels a bit too direct and might make people uncomfortable."""
es_en_SA_009,gpt-4.1,baseline,es-en,frustrated_dont_translate,True,False,[],"[""wrong_output_language""]",¡Perfecto! Aquí tienes algunas formas de mejorar la frase en inglés para que suene más natural:  1. I need to ask my manager for an extra day to finish the slide deck. 2. I need to request one more day from my manager to finish the slide de
es_en_SA_009,gpt-4.1,baseline,es-en,explicit_contract,True,False,[],"[""wrong_output_language""]",¡Entendido! Aquí tienes algunas opciones mejoradas y naturales en inglés:  1. I need to ask my manager for an extra day to finish the slide deck. 2. I need to request one more day from my manager to complete the slide deck. 3. I need to ask
es_en_SA_009,gpt-4.1-nano,baseline,es-en,frustrated_dont_translate,True,False,[],"[""wrong_output_language""]","¡Entendido! Aquí tienes una versión más natural en inglés:   ""I need to ask my manager for one more day to finish the slide deck.""    ¿Quieres que sea aún más informal o formal?"
es_en_SA_009,gpt-4.1-nano,baseline,es-en,explicit_contract,True,False,[],"[""wrong_output_language""]","¡Entendido! Aquí tienes una versión más natural en inglés:   ""I need to ask my manager for one more day to finish the slide deck.""    ¿Quieres que sea aún más informal o formal?"
es_en_SA_010,gpt-4.1,baseline,es-en,frustrated_dont_translate,True,False,[],"[""wrong_output_language""]","¡Perfecto! Entonces, aquí tienes algunas opciones mejoradas y naturales en inglés:  1. Please let the tenant know that we have fixed the heating issue and will check it again tomorrow. 2. Please inform the tenant that the heating problem ha"
es_en_SA_010,gpt-4.1,baseline,es-en,explicit_contract,True,False,[],"[""wrong_output_language""]","¡Perfecto! Aquí tienes algunas opciones mejoradas y naturales en inglés, siguiendo tu instrucción:  1. Please let the tenant know that we have fixed the heating issue and will check it again tomorrow. 2. Please inform the tenant that the he"
