dispatch_priority,surface_id,surface_label,slot_order,slot_id,template_reviewer_id,roster_template,completed_roster,completed_roster_present,expected_language_pair,expected_target_content_language,require_native_or_near_native,require_can_validate_instruction_language,require_can_validate_target_language,require_can_validate_script,require_qualification_notes,require_no_conflict_of_interest,completed_roster_validator,claim_boundary
2,human_audit_v02,Original v0.2 human/native audit,5,hi-en,replace_with_hi_en_annotator_1_id,data/human_audit/human_audit_annotator_roster_template_v0.2.csv,data/human_audit/human_audit_annotator_roster_v0.2.csv,False,hi-en,,True,not_applicable,not_applicable,True,True,True,scripts/validate_completed_human_audit.py,no_human_or_native_validation_claim_until_completed_labels_and_qualified_rosters_pass
2,human_audit_v02,Original v0.2 human/native audit,6,hi-en,replace_with_hi_en_annotator_2_id,data/human_audit/human_audit_annotator_roster_template_v0.2.csv,data/human_audit/human_audit_annotator_roster_v0.2.csv,False,hi-en,,True,not_applicable,not_applicable,True,True,True,scripts/validate_completed_human_audit.py,no_human_or_native_validation_claim_until_completed_labels_and_qualified_rosters_pass
3,coverage_native_review_v03,v0.3 coverage native review,1,arabic_instruction_arabic_filenames,replace_with_arabic_instruction_arabic_filenames_reviewer_1_id,data/coverage_native_review_v03/coverage_native_review_roster_template_v03.csv,data/coverage_native_review_v03/coverage_native_review_roster_v03.csv,False,ar-ar,Arabic with English file names,not_applicable,True,True,True,True,True,scripts/validate_completed_coverage_native_review_v03.py,no_human_or_native_validation_claim_until_completed_labels_and_qualified_rosters_pass
3,coverage_native_review_v03,v0.3 coverage native review,2,arabic_instruction_arabic_filenames,replace_with_arabic_instruction_arabic_filenames_reviewer_2_id,data/coverage_native_review_v03/coverage_native_review_roster_template_v03.csv,data/coverage_native_review_v03/coverage_native_review_roster_v03.csv,False,ar-ar,Arabic with English file names,not_applicable,True,True,True,True,True,scripts/validate_completed_coverage_native_review_v03.py,no_human_or_native_validation_claim_until_completed_labels_and_qualified_rosters_pass
3,coverage_native_review_v03,v0.3 coverage native review,3,english_instruction_arabic_content,replace_with_english_instruction_arabic_content_reviewer_1_id,data/coverage_native_review_v03/coverage_native_review_roster_template_v03.csv,data/coverage_native_review_v03/coverage_native_review_roster_v03.csv,False,en-ar,Arabic,not_applicable,True,True,True,True,True,scripts/validate_completed_coverage_native_review_v03.py,no_human_or_native_validation_claim_until_completed_labels_and_qualified_rosters_pass
3,coverage_native_review_v03,v0.3 coverage native review,4,english_instruction_arabic_content,replace_with_english_instruction_arabic_content_reviewer_2_id,data/coverage_native_review_v03/coverage_native_review_roster_template_v03.csv,data/coverage_native_review_v03/coverage_native_review_roster_v03.csv,False,en-ar,Arabic,not_applicable,True,True,True,True,True,scripts/validate_completed_coverage_native_review_v03.py,no_human_or_native_validation_claim_until_completed_labels_and_qualified_rosters_pass
3,coverage_native_review_v03,v0.3 coverage native review,5,english_instruction_hindi_content,replace_with_english_instruction_hindi_content_reviewer_1_id,data/coverage_native_review_v03/coverage_native_review_roster_template_v03.csv,data/coverage_native_review_v03/coverage_native_review_roster_v03.csv,False,en-hi,Hindi,not_applicable,True,True,True,True,True,scripts/validate_completed_coverage_native_review_v03.py,no_human_or_native_validation_claim_until_completed_labels_and_qualified_rosters_pass
3,coverage_native_review_v03,v0.3 coverage native review,6,english_instruction_hindi_content,replace_with_english_instruction_hindi_content_reviewer_2_id,data/coverage_native_review_v03/coverage_native_review_roster_template_v03.csv,data/coverage_native_review_v03/coverage_native_review_roster_v03.csv,False,en-hi,Hindi,not_applicable,True,True,True,True,True,scripts/validate_completed_coverage_native_review_v03.py,no_human_or_native_validation_claim_until_completed_labels_and_qualified_rosters_pass
3,coverage_native_review_v03,v0.3 coverage native review,7,english_instruction_spanish_content,replace_with_english_instruction_spanish_content_reviewer_1_id,data/coverage_native_review_v03/coverage_native_review_roster_template_v03.csv,data/coverage_native_review_v03/coverage_native_review_roster_v03.csv,False,en-es,Spanish,not_applicable,True,True,True,True,True,scripts/validate_completed_coverage_native_review_v03.py,no_human_or_native_validation_claim_until_completed_labels_and_qualified_rosters_pass
3,coverage_native_review_v03,v0.3 coverage native review,8,english_instruction_spanish_content,replace_with_english_instruction_spanish_content_reviewer_2_id,data/coverage_native_review_v03/coverage_native_review_roster_template_v03.csv,data/coverage_native_review_v03/coverage_native_review_roster_v03.csv,False,en-es,Spanish,not_applicable,True,True,True,True,True,scripts/validate_completed_coverage_native_review_v03.py,no_human_or_native_validation_claim_until_completed_labels_and_qualified_rosters_pass
3,coverage_native_review_v03,v0.3 coverage native review,9,hindi_english_instruction_hindi_devanagari,replace_with_hindi_english_instruction_hindi_devanagari_reviewer_1_id,data/coverage_native_review_v03/coverage_native_review_roster_template_v03.csv,data/coverage_native_review_v03/coverage_native_review_roster_v03.csv,False,hi-hi,Hindi,not_applicable,True,True,True,True,True,scripts/validate_completed_coverage_native_review_v03.py,no_human_or_native_validation_claim_until_completed_labels_and_qualified_rosters_pass
3,coverage_native_review_v03,v0.3 coverage native review,10,hindi_english_instruction_hindi_devanagari,replace_with_hindi_english_instruction_hindi_devanagari_reviewer_2_id,data/coverage_native_review_v03/coverage_native_review_roster_template_v03.csv,data/coverage_native_review_v03/coverage_native_review_roster_v03.csv,False,hi-hi,Hindi,not_applicable,True,True,True,True,True,scripts/validate_completed_coverage_native_review_v03.py,no_human_or_native_validation_claim_until_completed_labels_and_qualified_rosters_pass
3,coverage_native_review_v03,v0.3 coverage native review,11,spanish_instruction_arabic_quote,replace_with_spanish_instruction_arabic_quote_reviewer_1_id,data/coverage_native_review_v03/coverage_native_review_roster_template_v03.csv,data/coverage_native_review_v03/coverage_native_review_roster_v03.csv,False,es-ar,Arabic,not_applicable,True,True,True,True,True,scripts/validate_completed_coverage_native_review_v03.py,no_human_or_native_validation_claim_until_completed_labels_and_qualified_rosters_pass
3,coverage_native_review_v03,v0.3 coverage native review,12,spanish_instruction_arabic_quote,replace_with_spanish_instruction_arabic_quote_reviewer_2_id,data/coverage_native_review_v03/coverage_native_review_roster_template_v03.csv,data/coverage_native_review_v03/coverage_native_review_roster_v03.csv,False,es-ar,Arabic,not_applicable,True,True,True,True,True,scripts/validate_completed_coverage_native_review_v03.py,no_human_or_native_validation_claim_until_completed_labels_and_qualified_rosters_pass
