item_id,language_pair,task_family,expected_response_language,expected_script,challenge_type,auto_pass,auto_failed,expected_failure_types,failure_types,expected_signal_detected,response_chars,response_preview
ar_en_SB_006,ar-en,output_language_inference,English,Latin,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;task_noncompletion,1,32,بالطبع، سأقدم ردا واضحا ومناسبا.
ar_en_SB_007,ar-en,output_language_inference,English,Latin,required_marker_omission,0,1,task_noncompletion,task_noncompletion,1,50,"This response is clear, concise, and ready to use."
ar_en_SB_007,ar-en,output_language_inference,English,Latin,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;task_noncompletion,1,32,بالطبع، سأقدم ردا واضحا ومناسبا.
ar_en_SB_008,ar-en,output_language_inference,English,Latin,required_marker_omission,0,1,task_noncompletion,task_noncompletion,1,50,"This response is clear, concise, and ready to use."
ar_en_SB_008,ar-en,output_language_inference,English,Latin,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;task_noncompletion,1,32,بالطبع، سأقدم ردا واضحا ومناسبا.
ar_en_SB_009,ar-en,output_language_inference,English,Latin,required_marker_omission,0,1,task_noncompletion,task_noncompletion,1,50,"This response is clear, concise, and ready to use."
ar_en_SB_009,ar-en,output_language_inference,English,Latin,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;task_noncompletion,1,32,بالطبع، سأقدم ردا واضحا ومناسبا.
ar_en_SB_010,ar-en,output_language_inference,English,Latin,required_marker_omission,0,1,task_noncompletion,task_noncompletion,1,50,"This response is clear, concise, and ready to use."
ar_en_SB_010,ar-en,output_language_inference,English,Latin,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;task_noncompletion,1,32,بالطبع، سأقدم ردا واضحا ومناسبا.
ar_en_SC_001,ar-en,quote_preservation,Arabic,Arabic,required_marker_omission,0,1,task_noncompletion,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SC_001,ar-en,quote_preservation,Arabic,Arabic,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;preservation_failure;task_noncompletion,1,51,This is an English response with Latin script only.
ar_en_SC_001,ar-en,quote_preservation,Arabic,Arabic,preservation_drop,0,1,preservation_failure,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SC_002,ar-en,quote_preservation,Arabic,Arabic,required_marker_omission,0,1,task_noncompletion,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SC_002,ar-en,quote_preservation,Arabic,Arabic,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;preservation_failure;task_noncompletion,1,51,This is an English response with Latin script only.
ar_en_SC_002,ar-en,quote_preservation,Arabic,Arabic,preservation_drop,0,1,preservation_failure,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SC_003,ar-en,quote_preservation,Arabic,Arabic,required_marker_omission,0,1,task_noncompletion,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SC_003,ar-en,quote_preservation,Arabic,Arabic,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;preservation_failure;task_noncompletion,1,51,This is an English response with Latin script only.
ar_en_SC_003,ar-en,quote_preservation,Arabic,Arabic,preservation_drop,0,1,preservation_failure,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SC_004,ar-en,quote_preservation,Arabic,Arabic,required_marker_omission,0,1,task_noncompletion,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SC_004,ar-en,quote_preservation,Arabic,Arabic,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;preservation_failure;task_noncompletion,1,51,This is an English response with Latin script only.
ar_en_SC_004,ar-en,quote_preservation,Arabic,Arabic,preservation_drop,0,1,preservation_failure,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SC_005,ar-en,quote_preservation,Arabic,Arabic,required_marker_omission,0,1,task_noncompletion,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SC_005,ar-en,quote_preservation,Arabic,Arabic,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;preservation_failure;task_noncompletion,1,51,This is an English response with Latin script only.
ar_en_SC_005,ar-en,quote_preservation,Arabic,Arabic,preservation_drop,0,1,preservation_failure,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SC_006,ar-en,quote_preservation,Arabic,Arabic,required_marker_omission,0,1,task_noncompletion,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SC_006,ar-en,quote_preservation,Arabic,Arabic,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;preservation_failure;task_noncompletion,1,51,This is an English response with Latin script only.
ar_en_SC_006,ar-en,quote_preservation,Arabic,Arabic,preservation_drop,0,1,preservation_failure,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SC_007,ar-en,quote_preservation,Arabic,Arabic,required_marker_omission,0,1,task_noncompletion,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SC_007,ar-en,quote_preservation,Arabic,Arabic,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;preservation_failure;task_noncompletion,1,51,This is an English response with Latin script only.
ar_en_SC_007,ar-en,quote_preservation,Arabic,Arabic,preservation_drop,0,1,preservation_failure,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SC_008,ar-en,quote_preservation,Arabic,Arabic,required_marker_omission,0,1,task_noncompletion,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SC_008,ar-en,quote_preservation,Arabic,Arabic,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;preservation_failure;task_noncompletion,1,51,This is an English response with Latin script only.
ar_en_SC_008,ar-en,quote_preservation,Arabic,Arabic,preservation_drop,0,1,preservation_failure,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SC_009,ar-en,quote_preservation,Arabic,Arabic,required_marker_omission,0,1,task_noncompletion,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SC_009,ar-en,quote_preservation,Arabic,Arabic,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;preservation_failure;task_noncompletion,1,51,This is an English response with Latin script only.
ar_en_SC_009,ar-en,quote_preservation,Arabic,Arabic,preservation_drop,0,1,preservation_failure,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SC_010,ar-en,quote_preservation,Arabic,Arabic,required_marker_omission,0,1,task_noncompletion,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SC_010,ar-en,quote_preservation,Arabic,Arabic,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;preservation_failure;task_noncompletion,1,51,This is an English response with Latin script only.
ar_en_SC_010,ar-en,quote_preservation,Arabic,Arabic,preservation_drop,0,1,preservation_failure,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SD_001,ar-en,script_register_locale,Arabic,Arabic,forbidden_marker,0,1,task_noncompletion,task_noncompletion;register_locale_mismatch,1,55,Dear Sir or Madam ₹500 تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SD_001,ar-en,script_register_locale,Arabic,Arabic,required_marker_omission,0,1,task_noncompletion,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SD_001,ar-en,script_register_locale,Arabic,Arabic,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;preservation_failure;task_noncompletion,1,51,This is an English response with Latin script only.
ar_en_SD_001,ar-en,script_register_locale,Arabic,Arabic,preservation_drop,0,1,preservation_failure,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SD_001,ar-en,script_register_locale,Arabic,Arabic,overformal_register,0,1,register_locale_mismatch,wrong_output_language;script_mismatch;task_noncompletion;register_locale_mismatch,1,80,"Dear Sir or Madam, I humbly request that this message be handled with care. ₹500"
ar_en_SD_002,ar-en,script_register_locale,Arabic,Arabic,forbidden_marker,0,1,task_noncompletion,task_noncompletion;register_locale_mismatch,1,61,Dear Sir or Madam 05/07/2026 تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SD_002,ar-en,script_register_locale,Arabic,Arabic,required_marker_omission,0,1,task_noncompletion,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SD_002,ar-en,script_register_locale,Arabic,Arabic,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;preservation_failure;task_noncompletion,1,51,This is an English response with Latin script only.
ar_en_SD_002,ar-en,script_register_locale,Arabic,Arabic,preservation_drop,0,1,preservation_failure,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SD_002,ar-en,script_register_locale,Arabic,Arabic,overformal_register,0,1,register_locale_mismatch,wrong_output_language;script_mismatch;task_noncompletion;register_locale_mismatch,1,86,"Dear Sir or Madam, I humbly request that this message be handled with care. 05/07/2026"
ar_en_SD_003,ar-en,script_register_locale,Arabic,Arabic,forbidden_marker,0,1,task_noncompletion,task_noncompletion;register_locale_mismatch,1,57,Dear Sir or Madam ABC-17 تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SD_003,ar-en,script_register_locale,Arabic,Arabic,required_marker_omission,0,1,task_noncompletion,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SD_003,ar-en,script_register_locale,Arabic,Arabic,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;preservation_failure;task_noncompletion,1,51,This is an English response with Latin script only.
ar_en_SD_003,ar-en,script_register_locale,Arabic,Arabic,preservation_drop,0,1,preservation_failure,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SD_003,ar-en,script_register_locale,Arabic,Arabic,overformal_register,0,1,register_locale_mismatch,wrong_output_language;script_mismatch;task_noncompletion;register_locale_mismatch,1,82,"Dear Sir or Madam, I humbly request that this message be handled with care. ABC-17"
ar_en_SD_004,ar-en,script_register_locale,Arabic,Arabic,forbidden_marker,0,1,task_noncompletion,task_noncompletion;register_locale_mismatch,1,59,Dear Sir or Madam Mira Rao تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SD_004,ar-en,script_register_locale,Arabic,Arabic,required_marker_omission,0,1,task_noncompletion,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SD_004,ar-en,script_register_locale,Arabic,Arabic,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;preservation_failure;task_noncompletion,1,51,This is an English response with Latin script only.
ar_en_SD_004,ar-en,script_register_locale,Arabic,Arabic,preservation_drop,0,1,preservation_failure,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SD_004,ar-en,script_register_locale,Arabic,Arabic,overformal_register,0,1,register_locale_mismatch,wrong_output_language;script_mismatch;task_noncompletion;register_locale_mismatch,1,84,"Dear Sir or Madam, I humbly request that this message be handled with care. Mira Rao"
ar_en_SD_005,ar-en,script_register_locale,Arabic,Arabic,forbidden_marker,0,1,task_noncompletion,task_noncompletion;register_locale_mismatch,1,63,Dear Sir or Madam draft_v2.pdf تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SD_005,ar-en,script_register_locale,Arabic,Arabic,required_marker_omission,0,1,task_noncompletion,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SD_005,ar-en,script_register_locale,Arabic,Arabic,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;preservation_failure;task_noncompletion,1,51,This is an English response with Latin script only.
ar_en_SD_005,ar-en,script_register_locale,Arabic,Arabic,preservation_drop,0,1,preservation_failure,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SD_005,ar-en,script_register_locale,Arabic,Arabic,overformal_register,0,1,register_locale_mismatch,wrong_output_language;script_mismatch;task_noncompletion;register_locale_mismatch,1,88,"Dear Sir or Madam, I humbly request that this message be handled with care. draft_v2.pdf"
ar_en_SD_006,ar-en,script_register_locale,Arabic,Arabic,forbidden_marker,0,1,task_noncompletion,task_noncompletion;register_locale_mismatch,1,68,Dear Sir or Madam 10:30 AM INV-2048 تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SD_006,ar-en,script_register_locale,Arabic,Arabic,required_marker_omission,0,1,task_noncompletion,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SD_006,ar-en,script_register_locale,Arabic,Arabic,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;preservation_failure;task_noncompletion,1,51,This is an English response with Latin script only.
ar_en_SD_006,ar-en,script_register_locale,Arabic,Arabic,preservation_drop,0,1,preservation_failure,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SD_006,ar-en,script_register_locale,Arabic,Arabic,overformal_register,0,1,register_locale_mismatch,wrong_output_language;script_mismatch;task_noncompletion;register_locale_mismatch,1,93,"Dear Sir or Madam, I humbly request that this message be handled with care. 10:30 AM INV-2048"
ar_en_SD_007,ar-en,script_register_locale,Arabic,Arabic,forbidden_marker,0,1,task_noncompletion,task_noncompletion;register_locale_mismatch,1,57,Dear Sir or Madam Apt 5B تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SD_007,ar-en,script_register_locale,Arabic,Arabic,required_marker_omission,0,1,task_noncompletion,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SD_007,ar-en,script_register_locale,Arabic,Arabic,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;preservation_failure;task_noncompletion,1,51,This is an English response with Latin script only.
ar_en_SD_007,ar-en,script_register_locale,Arabic,Arabic,preservation_drop,0,1,preservation_failure,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SD_007,ar-en,script_register_locale,Arabic,Arabic,overformal_register,0,1,register_locale_mismatch,wrong_output_language;script_mismatch;task_noncompletion;register_locale_mismatch,1,82,"Dear Sir or Madam, I humbly request that this message be handled with care. Apt 5B"
ar_en_SD_008,ar-en,script_register_locale,Arabic,Arabic,forbidden_marker,0,1,task_noncompletion,task_noncompletion;register_locale_mismatch,1,64,Dear Sir or Madam June 12 QR-77 تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SD_008,ar-en,script_register_locale,Arabic,Arabic,required_marker_omission,0,1,task_noncompletion,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SD_008,ar-en,script_register_locale,Arabic,Arabic,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;preservation_failure;task_noncompletion,1,51,This is an English response with Latin script only.
ar_en_SD_008,ar-en,script_register_locale,Arabic,Arabic,preservation_drop,0,1,preservation_failure,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SD_008,ar-en,script_register_locale,Arabic,Arabic,overformal_register,0,1,register_locale_mismatch,wrong_output_language;script_mismatch;task_noncompletion;register_locale_mismatch,1,89,"Dear Sir or Madam, I humbly request that this message be handled with care. June 12 QR-77"
ar_en_SD_009,ar-en,script_register_locale,Arabic,Arabic,forbidden_marker,0,1,task_noncompletion,task_noncompletion;register_locale_mismatch,1,62,Dear Sir or Madam Travel_Fund تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SD_009,ar-en,script_register_locale,Arabic,Arabic,required_marker_omission,0,1,task_noncompletion,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SD_009,ar-en,script_register_locale,Arabic,Arabic,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;preservation_failure;task_noncompletion,1,51,This is an English response with Latin script only.
ar_en_SD_009,ar-en,script_register_locale,Arabic,Arabic,preservation_drop,0,1,preservation_failure,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SD_009,ar-en,script_register_locale,Arabic,Arabic,overformal_register,0,1,register_locale_mismatch,wrong_output_language;script_mismatch;task_noncompletion;register_locale_mismatch,1,87,"Dear Sir or Madam, I humbly request that this message be handled with care. Travel_Fund"
ar_en_SD_010,ar-en,script_register_locale,Arabic,Arabic,forbidden_marker,0,1,task_noncompletion,task_noncompletion;register_locale_mismatch,1,64,Dear Sir or Madam 2-4 PM BK-903 تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SD_010,ar-en,script_register_locale,Arabic,Arabic,required_marker_omission,0,1,task_noncompletion,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SD_010,ar-en,script_register_locale,Arabic,Arabic,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;preservation_failure;task_noncompletion,1,51,This is an English response with Latin script only.
ar_en_SD_010,ar-en,script_register_locale,Arabic,Arabic,preservation_drop,0,1,preservation_failure,preservation_failure;task_noncompletion,1,32,تمت صياغة الرد بشكل واضح ومناسب.
ar_en_SD_010,ar-en,script_register_locale,Arabic,Arabic,overformal_register,0,1,register_locale_mismatch,wrong_output_language;script_mismatch;task_noncompletion;register_locale_mismatch,1,89,"Dear Sir or Madam, I humbly request that this message be handled with care. 2-4 PM BK-903"
es_en_SA_001,es-en,editing_preservation,English,Latin,forbidden_marker,0,1,task_noncompletion,wrong_output_language;task_noncompletion,1,81,"Estimado team notes conclusion This response is clear, concise, and ready to use."
es_en_SA_001,es-en,editing_preservation,English,Latin,required_marker_omission,0,1,task_noncompletion,task_noncompletion,1,50,"This response is clear, concise, and ready to use."
es_en_SA_001,es-en,editing_preservation,English,Latin,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;task_noncompletion,1,32,بالطبع، سأقدم ردا واضحا ومناسبا.
es_en_SA_002,es-en,editing_preservation,English,Latin,forbidden_marker,0,1,task_noncompletion,wrong_output_language;task_noncompletion,1,85,"Estimado appointment train delayed This response is clear, concise, and ready to use."
es_en_SA_002,es-en,editing_preservation,English,Latin,required_marker_omission,0,1,task_noncompletion,task_noncompletion,1,50,"This response is clear, concise, and ready to use."
es_en_SA_002,es-en,editing_preservation,English,Latin,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;task_noncompletion,1,32,بالطبع، سأقدم ردا واضحا ومناسبا.
es_en_SA_003,es-en,editing_preservation,English,Latin,forbidden_marker,0,1,task_noncompletion,wrong_output_language;task_noncompletion,1,91,"Estimado invoice missing details tonight This response is clear, concise, and ready to use."
es_en_SA_003,es-en,editing_preservation,English,Latin,required_marker_omission,0,1,task_noncompletion,task_noncompletion,1,50,"This response is clear, concise, and ready to use."
es_en_SA_003,es-en,editing_preservation,English,Latin,wrong_script,0,1,wrong_output_language;script_mismatch,wrong_output_language;script_mismatch;task_noncompletion,1,32,بالطبع، سأقدم ردا واضحا ومناسبا.
es_en_SA_004,es-en,editing_preservation,English,Latin,forbidden_marker,0,1,task_noncompletion,wrong_output_language;task_noncompletion,1,76,"Estimado call today email This response is clear, concise, and ready to use."
